avg_rating,backup_location,btih,call_number,collection,contributor,coverage,creator,date,description,downloads,external-identifier,foldoutcount,format,genre,identifier,imagecount,indexflag,item_size,language,language_full,licenseurl,mediatype,members,month,name,noindex,num_reviews,oai_updatedate,platform,publicdate,publisher,related-external-id,reviewdate,rights,scanningcentre,source,stripped_tags,subject,title,title_cleaned,type,volume,week,year
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin 87 01 (1987)(Markt & Technik)(de),85,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_87-01_1987_Markt_Technik_de,,"index,nonoindex",1137607,eng,English,,software,,1,,,,"14.04.2021, 15.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin 87 01 (1987)(Markt & Technik)(de),64'er Magazin,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin 87 02 (1987)(Markt & Technik)(de)(Side A),94,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_87-02_1987_Markt_Technik_de_Side_A,,"index,nonoindex",925085,eng,English,,software,,3,,,,"14.04.2021, 25.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin 87 02 (1987)(Markt & Technik)(de)(Side A),64'er Magazin,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin 87 02 (1987)(Markt & Technik)(de)(Side B),85,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_87-02_1987_Markt_Technik_de_Side_B,,"index,nonoindex",340297,eng,English,,software,,1,,,,"14.04.2021, 22.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin 87 02 (1987)(Markt & Technik)(de)(Side B),64'er Magazin,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin 87 03 (1987)(Markt & Technik)(de)(Side A),85,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_87-03_1987_Markt_Technik_de_Side_A,,"index,nonoindex",808825,eng,English,,software,,0,,,,"14.04.2021, 16.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin 87 03 (1987)(Markt & Technik)(de)(Side A),64'er Magazin,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin 87 04 (1987)(Markt & Technik)(de),91,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_87-04_1987_Markt_Technik_de,,"index,nonoindex",598753,eng,English,,software,,1,,,,"14.04.2021, 18.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin 87 04 (1987)(Markt & Technik)(de),64'er Magazin,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin 87 05 (1987)(Markt & Technik)(de),95,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_87-05_1987_Markt_Technik_de,,"index,nonoindex",539871,eng,English,,software,,1,,,,"14.04.2021, 18.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin 87 05 (1987)(Markt & Technik)(de),64'er Magazin,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin 87 06 (1987)(Markt & Technik)(de)(Side A),87,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_87-06_1987_Markt_Technik_de_Side_A,,"index,nonoindex",880249,eng,English,,software,,1,,,,"14.04.2021, 15.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin 87 06 (1987)(Markt & Technik)(de)(Side A),64'er Magazin,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin 87 06 (1987)(Markt & Technik)(de)(Side B),88,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_87-06_1987_Markt_Technik_de_Side_B,,"index,nonoindex",590919,eng,English,,software,,1,,,,"14.04.2021, 14.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin 87 06 (1987)(Markt & Technik)(de)(Side B),64'er Magazin,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin 87 07 (1987)(Markt & Technik)(de),103,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_87-07_1987_Markt_Technik_de,,"index,nonoindex",734735,eng,English,,software,,1,,,,"14.04.2021, 17.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin 87 07 (1987)(Markt & Technik)(de),64'er Magazin,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin 87 08 (1987)(Markt & Technik)(de)(Side A),88,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_87-08_1987_Markt_Technik_de_Side_A,,"index,nonoindex",732701,eng,English,,software,,1,,,,"14.04.2021, 16.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin 87 08 (1987)(Markt & Technik)(de)(Side A),64'er Magazin,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin 87 08 (1987)(Markt & Technik)(de)(Side B),135,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_87-08_1987_Markt_Technik_de_Side_B,,"index,nonoindex",378922,eng,English,,software,,0,,,,"14.04.2021, 20.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin 87 08 (1987)(Markt & Technik)(de)(Side B),64'er Magazin,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin 87 09 (1987)(Markt & Technik)(de)(Side A),81,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_87-09_1987_Markt_Technik_de_Side_A,,"index,nonoindex",594483,eng,English,,software,,0,,,,"14.04.2021, 15.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin 87 09 (1987)(Markt & Technik)(de)(Side A),64'er Magazin,,,0,
