issue,title,platform,group,release,release_converted,link,download_links,external_download_links
Mirage #001,Mirage,Commodore 64,Union,17 March 1990,17.03.1990,https://csdb.dk//release/?id=63276,http://csdb.dk/getinternalfile.php/55194/___MIRAGE#001___.T64,http://ftp.pokefinder.org/index.php?s=Mirage%20001&sourceid=csdb
Mirage #001,Mirage,Commodore 64,Extacy,19 July 1992,19.07.1992,https://csdb.dk//release/?id=51853,"http://csdb.dk/getinternalfile.php/43441/MIRAGE#01.D64, ftp://ftp.scs-trc.net/pub/c64/Magazines/Mirage/Mirage_01.zip",http://ftp.pokefinder.org/index.php?s=Mirage%20001&sourceid=csdb
Mirage #003,Mirage,Commodore 64,Royal Cracking Animals,June 1990,01.06.1990,https://csdb.dk//release/?id=51851,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Mirage/Mirage_03.zip, http://csdb.dk/getinternalfile.php/132715/Mirage_03.zip",http://ftp.pokefinder.org/index.php?s=Mirage%20003&sourceid=csdb
Mirage #004,Mirage,Commodore 64,Royal Cracking Animals,July 1990,01.07.1990,https://csdb.dk//release/?id=51848,http://csdb.dk/getinternalfile.php/43436/Mirage #004.zip,http://ftp.pokefinder.org/index.php?s=Mirage%20004&sourceid=csdb
Mirage #005,Mirage,Commodore 64,Royal Cracking Animals,,,https://csdb.dk//release/?id=119323,,http://ftp.pokefinder.org/index.php?s=Mirage%20005&sourceid=csdb
Mirage #006,Mirage,Commodore 64,House Designs,23 February 1991,23.02.1991,https://csdb.dk//release/?id=51857,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Mirage/Mirage_06.zip, http://csdb.dk/getinternalfile.php/43445/Mirage_06.zip",http://ftp.pokefinder.org/index.php?s=Mirage%20006&sourceid=csdb
Mirage #007,Mirage,Commodore 64,House Designs,18 May 1991,18.05.1991,https://csdb.dk//release/?id=113135,http://csdb.dk/getinternalfile.php/110869/Mirage_07.d64,http://ftp.pokefinder.org/index.php?s=Mirage%20007&sourceid=csdb
Mirage #008,Mirage,Commodore 64,House Designs,7 April 1991,07.04.1991,https://csdb.dk//release/?id=51854,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Mirage/Mirage_08.zip, http://csdb.dk/getinternalfile.php/43442/Mirage_08.zip",http://ftp.pokefinder.org/index.php?s=Mirage%20008&sourceid=csdb
Mirage #009,Mirage,Commodore 64,House Designs,May 1991,01.05.1991,https://csdb.dk//release/?id=51855,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Mirage/Mirage_09.zip, http://csdb.dk/getinternalfile.php/43443/Mirage_09.zip",http://ftp.pokefinder.org/index.php?s=Mirage%20009&sourceid=csdb
Mirage #010,Mirage,Commodore 64,House Designs,1991,01.01.1991,https://csdb.dk//release/?id=51856,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Mirage/Mirage_10.zip, http://csdb.dk/getinternalfile.php/43444/Mirage_10.zip",http://ftp.pokefinder.org/index.php?s=Mirage%20010&sourceid=csdb
