issue,title,platform,group,release,release_converted,link,download_links,external_links
The Pirate World 2,The Pirate World,MS-Dos,The Pirate Syndicate,12 July 1990,12.07.1990,https://demozoo.org//productions/122989/,"http://www.defacto2.net/d/ac6fb, https://files.scene.org/get/mags/the_pirate_world/tps-iss2.zip, https://files.scene.org/view/mags/the_pirate_world/tps-iss2.zip",https://defacto2.net/f/ac6fb
The Pirate World 3,The Pirate World,MS-Dos,The Pirate Syndicate,28 August 1990,28.08.1990,https://demozoo.org//productions/122990/,"http://www.defacto2.net/d/ad657, https://files.scene.org/get/mags/the_pirate_world/tps-iss3.zip, https://files.scene.org/view/mags/the_pirate_world/tps-iss3.zip",https://defacto2.net/f/ad657
The Pirate World 4,The Pirate World,MS-Dos,The Pirate Syndicate,20 September 1990,20.09.1990,https://demozoo.org//productions/122991/,"http://www.defacto2.net/d/a55ed, https://files.scene.org/get/mags/the_pirate_world/tps-iss4.zip, https://files.scene.org/view/mags/the_pirate_world/tps-iss4.zip",https://defacto2.net/f/a55ed
The Power Registers Extra Disk #3,The Power Registers Extra Disk,Atari ST/E,"Dattrax Software, Powerfist Productions",,,https://demozoo.org//productions/136061/,https://ftp.untergrund.net/users/ltk_tscc/fujiology/MAGS/POWERMAG/PREXTRA3.ZIP,
The Product 1,The Product,MS-Dos,ACiD,July 1992,01.07.1992,https://demozoo.org//productions/23219/,"http://artscene.textfiles.com/acid/ZINES/product.zip, https://defacto2.net/file/download/a6513?filename=product.zip, https://files.scene.org/get/mags/the_product/product.zip, https://files.scene.org/view/mags/the_product/product.zip","https://defacto2.net/f/a6513, https://www.pouet.net/prod.php?which=6203"
The Product 2,The Product,MS-Dos,ACiD,September 1996,01.09.1996,https://demozoo.org//productions/23220/,"https://files.scene.org/get/mags/the_product/product2.zip, https://files.scene.org/view/mags/the_product/product2.zip",https://www.pouet.net/prod.php?which=6210
The Pulse 1,The Pulse,Commodore 64,Gridpoint Developments,June 1993,01.06.1993,https://demozoo.org//productions/144201/,"https://files.scene.org/get/mags/the_pulse/pulse_01.zip, https://files.scene.org/view/mags/the_pulse/pulse_01.zip","https://csdb.dk/release/?id=9999, https://www.pouet.net/prod.php?which=36105"
The Pulse 10,The Pulse,Commodore 64,Regina,1 April 1994,01.04.1994,https://demozoo.org//productions/204270/,"https://files.scene.org/get/mags/the_pulse/pulse_10.zip, https://files.scene.org/view/mags/the_pulse/pulse_10.zip","https://csdb.dk/release/?id=5415, https://www.pouet.net/prod.php?which=36096"
The Pulse 11,The Pulse,Commodore 64,Regina,1 May 1994,01.05.1994,https://demozoo.org//productions/204400/,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Pulse/Pulse_11.zip, http://csdb.dk/getinternalfile.php/59074/Pulse_11.zip, https://files.scene.org/get/mags/the_pulse/pulse_11.zip, https://files.scene.org/view/mags/the_pulse/pulse_11.zip","https://csdb.dk/release/?id=8433, https://www.pouet.net/prod.php?which=36095"
The Pulse 12,The Pulse,Commodore 64,Regina,1 June 1994,01.06.1994,https://demozoo.org//productions/153659/,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Pulse/Pulse_12.zip, http://csdb.dk/getinternalfile.php/65815/Pulse_12.zip, https://files.scene.org/get/mags/the_pulse/pulse_12.zip, https://files.scene.org/view/mags/the_pulse/pulse_12.zip","https://csdb.dk/release/?id=4805, https://www.pouet.net/prod.php?which=36094"
The Pulse 13,The Pulse,Commodore 64,Regina,August 1994,01.08.1994,https://demozoo.org//productions/204401/,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Pulse/Pulse_13.zip, http://csdb.dk/getinternalfile.php/65816/Pulse_13.zip, https://files.scene.org/get/mags/the_pulse/pulse_13.zip, https://files.scene.org/view/mags/the_pulse/pulse_13.zip","https://csdb.dk/release/?id=8439, https://www.pouet.net/prod.php?which=36093"
The Pulse 14,The Pulse,Commodore 64,Regina,September 1994,01.09.1994,https://demozoo.org//productions/204402/,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Pulse/Pulse_14.zip, http://csdb.dk/getinternalfile.php/65817/Pulse_14.zip, https://files.scene.org/get/mags/the_pulse/pulse_14.zip, https://files.scene.org/view/mags/the_pulse/pulse_14.zip","https://csdb.dk/release/?id=5416, https://www.pouet.net/prod.php?which=36092"
The Pulse 15,The Pulse,Commodore 64,,1 June 1995,01.06.1995,https://demozoo.org//productions/204403/,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Pulse/Pulse_15.zip, http://csdb.dk/getinternalfile.php/65818/Pulse_15.zip, https://files.scene.org/get/mags/the_pulse/pulse_15.zip, https://files.scene.org/view/mags/the_pulse/pulse_15.zip","https://csdb.dk/release/?id=5417, https://www.pouet.net/prod.php?which=36091"
The Pulse 16,The Pulse,Commodore 64,,1 July 1995,01.07.1995,https://demozoo.org//productions/204404/,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Pulse/Pulse_16.zip, http://csdb.dk/getinternalfile.php/65819/Pulse_16.zip, https://files.scene.org/get/mags/the_pulse/pulse_16.zip, https://files.scene.org/view/mags/the_pulse/pulse_16.zip","https://csdb.dk/release/?id=8448, https://www.pouet.net/prod.php?which=36090"
The Pulse 17,The Pulse,Commodore 64,,October 1995,01.10.1995,https://demozoo.org//productions/204405/,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Pulse/Pulse_17.zip, http://csdb.dk/getinternalfile.php/65820/Pulse_17.zip, https://files.scene.org/get/mags/the_pulse/pulse_17.zip, https://files.scene.org/view/mags/the_pulse/pulse_17.zip","https://csdb.dk/release/?id=5418, https://www.pouet.net/prod.php?which=36089"
The Pulse 18,The Pulse,Commodore 64,,15 November 1995,15.11.1995,https://demozoo.org//productions/204406/,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Pulse/Pulse_18.zip, http://csdb.dk/getinternalfile.php/65821/Pulse_18.zip, https://files.scene.org/get/mags/the_pulse/pulse_18.zip, https://files.scene.org/view/mags/the_pulse/pulse_18.zip","https://csdb.dk/release/?id=5419, https://www.pouet.net/prod.php?which=36088"
The Pulse 19,The Pulse,Commodore 64,,December 1995,01.12.1995,https://demozoo.org//productions/204407/,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Pulse/Pulse_19.zip, http://csdb.dk/getinternalfile.php/65822/Pulse_19.zip, https://files.scene.org/get/mags/the_pulse/pulse_19.zip, https://files.scene.org/view/mags/the_pulse/pulse_19.zip","https://csdb.dk/release/?id=5420, https://www.pouet.net/prod.php?which=36087"
The Pulse 2,The Pulse,Commodore 64,Pandora,2 August 1993,02.08.1993,https://demozoo.org//productions/144202/,"https://files.scene.org/get/mags/the_pulse/pulse_02.zip, https://files.scene.org/view/mags/the_pulse/pulse_02.zip","https://csdb.dk/release/?id=5412, https://www.pouet.net/prod.php?which=36104"
The Pulse 20,The Pulse,Commodore 64,,29 December 1995,29.12.1995,https://demozoo.org//productions/204408/,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Pulse/Pulse_20.zip, http://csdb.dk/getinternalfile.php/65823/Pulse_20.zip, ftp://ftp.padua.org/pub/c64/Magazines/the_pulse/the_pulse_party_edition.zip, https://archive.scene.org/pub/mirrors/padua/Magazines/the_pulse/the_pulse_party_edition.zip, http://http.us.scene.org/pub/scene.org/mirrors/padua/Magazines/the_pulse/the_pulse_party_edition.zip, https://files.scene.org/get/mags/the_pulse/pulse_20.zip, https://files.scene.org/view/mags/the_pulse/pulse_20.zip","https://csdb.dk/release/?id=5091, https://www.pouet.net/prod.php?which=36086"
The Pulse 21,The Pulse,Commodore 64,SHAPE,12 February 1996,12.02.1996,https://demozoo.org//productions/204409/,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Pulse/Pulse_21.zip, http://csdb.dk/getinternalfile.php/65824/Pulse_21.zip, https://files.scene.org/get/mags/the_pulse/pulse_21.zip, https://files.scene.org/view/mags/the_pulse/pulse_21.zip","https://csdb.dk/release/?id=5421, https://www.pouet.net/prod.php?which=36085"
The Pulse 22,The Pulse,Commodore 64,SHAPE,March 1996,01.03.1996,https://demozoo.org//productions/204410/,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Pulse/Pulse_22.zip, http://csdb.dk/getinternalfile.php/65656/Pulse_22.zip, https://files.scene.org/get/mags/the_pulse/pulse_22.zip, https://files.scene.org/view/mags/the_pulse/pulse_22.zip",https://csdb.dk/release/?id=5422
The Pulse 23,The Pulse,Commodore 64,SHAPE,April 1996,01.04.1996,https://demozoo.org//productions/204411/,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Pulse/Pulse_23.zip, http://csdb.dk/getinternalfile.php/38855/Pulse_23.zip, http://csdb.dk/getinternalfile.php/78327/0068b.d64, https://files.scene.org/get/mags/the_pulse/pulse_23.zip, https://files.scene.org/view/mags/the_pulse/pulse_23.zip",https://csdb.dk/release/?id=5423
The Pulse 3,The Pulse,Commodore 64,Pandora,1 September 1993,01.09.1993,https://demozoo.org//productions/144203/,"https://files.scene.org/get/mags/the_pulse/pulse_03.zip, https://files.scene.org/view/mags/the_pulse/pulse_03.zip","https://csdb.dk/release/?id=8964, https://www.pouet.net/prod.php?which=36103"
The Pulse 4,The Pulse,Commodore 64,Pandora,1 October 1993,01.10.1993,https://demozoo.org//productions/144204/,"https://files.scene.org/get/mags/the_pulse/pulse_04.zip, https://files.scene.org/view/mags/the_pulse/pulse_04.zip","https://csdb.dk/release/?id=5413, https://www.pouet.net/prod.php?which=36102"
The Pulse 5,The Pulse,Commodore 64,Regina,1 November 1993,01.11.1993,https://demozoo.org//productions/144205/,"https://files.scene.org/get/mags/the_pulse/pulse_05.zip, https://files.scene.org/view/mags/the_pulse/pulse_05.zip","https://csdb.dk/release/?id=794, https://www.pouet.net/prod.php?which=36007"
The Pulse 6,The Pulse,Commodore 64,Regina,4 December 1993,04.12.1993,https://demozoo.org//productions/204266/,"https://files.scene.org/get/mags/the_pulse/pulse_06.zip, https://files.scene.org/view/mags/the_pulse/pulse_06.zip","https://csdb.dk/release/?id=5414, https://www.pouet.net/prod.php?which=36100"
The Pulse 7,The Pulse,Commodore 64,Regina,29 December 1993 at,29.12.1993,https://demozoo.org//productions/204267/,"https://files.scene.org/get/mags/the_pulse/pulse_07.zip, https://files.scene.org/view/mags/the_pulse/pulse_07.zip","https://csdb.dk/release/?id=5101, https://www.pouet.net/prod.php?which=36099"
The Pulse 8,The Pulse,Commodore 64,Regina,1 February 1994,01.02.1994,https://demozoo.org//productions/204268/,"https://files.scene.org/get/mags/the_pulse/pulse_08.zip, https://files.scene.org/view/mags/the_pulse/pulse_08.zip","https://csdb.dk/release/?id=3556, https://www.pouet.net/prod.php?which=36098"
The Pulse 9,The Pulse,Commodore 64,Regina,1 March 1994,01.03.1994,https://demozoo.org//productions/204269/,"https://files.scene.org/get/mags/the_pulse/pulse_09.zip, https://files.scene.org/view/mags/the_pulse/pulse_09.zip","https://csdb.dk/release/?id=9308, https://www.pouet.net/prod.php?which=36097"
The Rashtuls Blade 1: The Seven Blades of Thorvalia,The Rashtuls Blade 1: The Seven Blades of Thorvalia,Amiga OCS/ECS,"Infect, The Magic Guild",1 April 1995,01.04.1995,https://demozoo.org//productions/214232/,"http://ftp.amigascne.org/pub/amiga/Groups/I/Infect/INFECT-RashtulsBlade.DMS, https://archive.scene.org/pub/mirrors/amigascne/Groups/I/Infect/INFECT-RashtulsBlade.DMS, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/I/Infect/INFECT-RashtulsBlade.DMS",http://janeway.exotica.org.uk/release.php?id=10799
The SCD Report 1,The SCD Report,MS-Dos,Southern California Distribution,24 November 1990,24.11.1990,https://demozoo.org//productions/98366/,"ftp://ftp.shroo.ms/artscene/emags/1990/scd-1.zip, https://defacto2.net/file/download/9e57f?filename=scd-1.zip, https://files.scene.org/get/mags/the_scd_report/scd-01.zip, https://files.scene.org/view/mags/the_scd_report/scd-01.zip",https://defacto2.net/f/9e57f
The SCD Report 10,The SCD Report,MS-Dos,Software Chronicles Digest,September 1991,01.09.1991,https://demozoo.org//productions/98398/,"ftp://ftp.shroo.ms/artscene/emags/1991/scd-10.zip, https://defacto2.net/file/download/9e595?filename=scd-10.zip, https://files.scene.org/get/mags/the_scd_report/scd-10.zip, https://files.scene.org/view/mags/the_scd_report/scd-10.zip",https://defacto2.net/f/9e595
The SCD Report 11,The SCD Report,MS-Dos,Software Chronicles Digest,October 1991,01.10.1991,https://demozoo.org//productions/98399/,"ftp://ftp.shroo.ms/artscene/emags/1991/scd-11.zip, https://defacto2.net/file/download/9f571?filename=scd-11.zip, https://files.scene.org/get/mags/the_scd_report/scd-11.zip, https://files.scene.org/view/mags/the_scd_report/scd-11.zip",https://defacto2.net/f/9f571
The SCD Report 12,The SCD Report,MS-Dos,Software Chronicles Digest,November 1991,01.11.1991,https://demozoo.org//productions/98400/,"ftp://ftp.shroo.ms/artscene/emags/1991/scd-12.zip, https://defacto2.net/file/download/a04ed?filename=scd-12.zip, https://files.scene.org/get/mags/the_scd_report/scd-12.zip, https://files.scene.org/view/mags/the_scd_report/scd-12.zip",https://defacto2.net/f/a04ed
The SCD Report 13,The SCD Report,MS-Dos,Software Chronicles Digest,December 1991,01.12.1991,https://demozoo.org//productions/98368/,"ftp://ftp.shroo.ms/artscene/emags/1991/scd-13.zip, https://defacto2.net/file/download/a1449?filename=scd-13.zip, https://files.scene.org/get/mags/the_scd_report/scd-13.zip, https://files.scene.org/view/mags/the_scd_report/scd-13.zip",https://defacto2.net/f/a1449
The SCD Report 14,The SCD Report,MS-Dos,Software Chronicles Digest,February 1992,01.02.1992,https://demozoo.org//productions/98489/,"ftp://ftp.shroo.ms/artscene/emags/1992/scd-14.zip, https://defacto2.net/file/download/a2425?filename=scd-14.zip, https://files.scene.org/get/mags/the_scd_report/scd-14.zip, https://files.scene.org/view/mags/the_scd_report/scd-14.zip",https://defacto2.net/f/a2425
The SCD Report 15,The SCD Report,MS-Dos,Software Chronicles Digest,December 1992,01.12.1992,https://demozoo.org//productions/98490/,"ftp://ftp.shroo.ms/artscene/emags/1992/scd-15.zip, https://defacto2.net/file/download/a3781?filename=scd-15.zip, https://files.scene.org/get/mags/the_scd_report/scd-15.zip, https://files.scene.org/view/mags/the_scd_report/scd-15.zip",https://defacto2.net/f/a3781
The SCD Report 2,The SCD Report,MS-Dos,Southern California Distribution,December 1990,01.12.1990,https://demozoo.org//productions/98367/,"ftp://ftp.shroo.ms/artscene/emags/1990/scd-2.zip, https://defacto2.net/file/download/9f4db?filename=scd-2.zip, https://files.scene.org/get/mags/the_scd_report/scd-02.zip, https://files.scene.org/view/mags/the_scd_report/scd-02.zip",https://defacto2.net/f/9f4db
The SCD Report 3,The SCD Report,MS-Dos,Southern California Distribution,January 1991,01.01.1991,https://demozoo.org//productions/98370/,"ftp://ftp.shroo.ms/artscene/emags/1991/scd-3.zip, https://defacto2.net/file/download/a04b7?filename=scd-3.zip, https://files.scene.org/get/mags/the_scd_report/scd-03.zip, https://files.scene.org/view/mags/the_scd_report/scd-03.zip",https://defacto2.net/f/a04b7
The SCD Report 4,The SCD Report,MS-Dos,Southern California Distribution,28 February 1991,28.02.1991,https://demozoo.org//productions/98371/,"ftp://ftp.shroo.ms/artscene/emags/1991/scd-4.zip, https://defacto2.net/file/download/a1413?filename=scd-4.zip, https://files.scene.org/get/mags/the_scd_report/scd-04.zip, https://files.scene.org/view/mags/the_scd_report/scd-04.zip",https://defacto2.net/f/a1413
The SCD Report 5,The SCD Report,MS-Dos,Southern California Distribution,April 1991,01.04.1991,https://demozoo.org//productions/98372/,"ftp://ftp.shroo.ms/artscene/emags/1991/scd-5.zip, https://defacto2.net/file/download/a278f?filename=scd-5.zip, https://files.scene.org/get/mags/the_scd_report/scd-05.zip, https://files.scene.org/view/mags/the_scd_report/scd-05.zip",https://defacto2.net/f/a278f
The SCD Report 6,The SCD Report,MS-Dos,Software Chronicles Digest,May 1991,01.05.1991,https://demozoo.org//productions/98394/,"ftp://ftp.shroo.ms/artscene/emags/1991/scd-6.zip, https://defacto2.net/file/download/a376b?filename=scd-6.zip, https://files.scene.org/get/mags/the_scd_report/scd-06.zip, https://files.scene.org/view/mags/the_scd_report/scd-06.zip",https://defacto2.net/f/a376b
The SCD Report 7,The SCD Report,MS-Dos,Software Chronicles Digest,June 1991,01.06.1991,https://demozoo.org//productions/98395/,"ftp://ftp.shroo.ms/artscene/emags/1991/scd-7.zip, https://defacto2.net/file/download/a46c7?filename=scd-7.zip, https://files.scene.org/get/mags/the_scd_report/scd-07.zip, https://files.scene.org/view/mags/the_scd_report/scd-07.zip",https://defacto2.net/f/a46c7
The SCD Report 8,The SCD Report,MS-Dos,Software Chronicles Digest,July 1991,01.07.1991,https://demozoo.org//productions/98396/,"ftp://ftp.shroo.ms/artscene/emags/1991/scd-8.zip, https://defacto2.net/file/download/a56a3?filename=scd-8.zip, https://files.scene.org/get/mags/the_scd_report/scd-08.zip, https://files.scene.org/view/mags/the_scd_report/scd-08.zip",https://defacto2.net/f/a56a3
The SCD Report 9,The SCD Report,MS-Dos,Software Chronicles Digest,August 1991,01.08.1991,https://demozoo.org//productions/98397/,"ftp://ftp.shroo.ms/artscene/emags/1991/scd-9.zip, https://defacto2.net/file/download/9d239?filename=scd-9.zip, https://files.scene.org/get/mags/the_scd_report/scd-09.zip, https://files.scene.org/view/mags/the_scd_report/scd-09.zip",https://defacto2.net/f/9d239
The Scene #2,The Scene,MS-Dos,Terratron,1 February 1994,01.02.1994,https://demozoo.org//productions/304411/,"https://files.scene.org/get/demos/compilations/lost_found_and_more/mags_reviews/scen0294.zip, https://files.scene.org/view/demos/compilations/lost_found_and_more/mags_reviews/scen0294.zip",
The Scene #3 + 4,The Scene,MS-Dos,Terratron,1 April 1994,01.04.1994,https://demozoo.org//productions/304414/,"https://files.scene.org/get/demos/compilations/lost_found_and_more/mags_reviews/scen0494.zip, https://files.scene.org/view/demos/compilations/lost_found_and_more/mags_reviews/scen0494.zip",
The Scene #5,The Scene,MS-Dos,Terratron,1 June 1994,01.06.1994,https://demozoo.org//productions/304415/,"https://files.scene.org/get/demos/compilations/lost_found_and_more/mags_reviews/scen0594.zip, https://files.scene.org/view/demos/compilations/lost_found_and_more/mags_reviews/scen0594.zip",
The Scene #6,The Scene,MS-Dos,Terratron,1 July 1994,01.07.1994,https://demozoo.org//productions/304416/,"https://files.scene.org/get/demos/compilations/lost_found_and_more/mags_reviews/scen0694.zip, https://files.scene.org/view/demos/compilations/lost_found_and_more/mags_reviews/scen0694.zip",
The Scene #7,The Scene,MS-Dos,Terratron,1 August 1994,01.08.1994,https://demozoo.org//productions/304432/,"https://files.scene.org/get/demos/compilations/lost_found_and_more/mags_reviews/scen0794.zip, https://files.scene.org/view/demos/compilations/lost_found_and_more/mags_reviews/scen0794.zip",
The Scene #8,The Scene,MS-Dos,Terratron,,,https://demozoo.org//productions/304433/,"https://files.scene.org/get/demos/compilations/lost_found_and_more/mags_reviews/scen0894.zip, https://files.scene.org/view/demos/compilations/lost_found_and_more/mags_reviews/scen0894.zip",
The Scene 1,The Scene,MS-Dos,Parallax,1996,01.01.1996,https://demozoo.org//productions/104112/,"https://files.scene.org/get/mags/scene.si/plx_scene_1st.zip, https://files.scene.org/view/mags/scene.si/plx_scene_1st.zip",https://www.pouet.net/prod.php?which=53600
The Scene 1,The Scene,Amiga OCS/ECS,Mystix,23 April 1990,23.04.1990,https://demozoo.org//productions/251637/,"http://ftp.amigascne.org/pub/amiga/Groups/M/Mystix/MYSTIX-TheScene01.lha, https://archive.scene.org/pub/mirrors/amigascne/Groups/M/Mystix/MYSTIX-TheScene01.lha, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/M/Mystix/MYSTIX-TheScene01.lha",http://janeway.exotica.org.uk/release.php?id=6193
The Scene 2,The Scene,Amiga OCS/ECS,Abel,5 June 1990,05.06.1990,https://demozoo.org//productions/219969/,"http://ftp.amigascne.org/pub/amiga/Groups/A/Abel/ABEL-TheScene02.adf, https://archive.scene.org/pub/mirrors/amigascne/Groups/A/Abel/ABEL-TheScene02.adf, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/A/Abel/ABEL-TheScene02.adf",http://janeway.exotica.org.uk/release.php?id=23712
The Scene 3,The Scene,Amiga OCS/ECS,Decay,1 August 1990,01.08.1990,https://demozoo.org//productions/240035/,"http://ftp.amigascne.org/pub/amiga/Groups/D/Decay/DECAY-TheScene03.lha, https://archive.scene.org/pub/mirrors/amigascne/Groups/D/Decay/DECAY-TheScene03.lha, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/D/Decay/DECAY-TheScene03.lha","http://janeway.exotica.org.uk/release.php?id=23713, https://www.pouet.net/prod.php?which=85998"
The Scene 4,The Scene,Amiga OCS/ECS,"Dawn, Decay, Prophecy",1991,01.01.1991,https://demozoo.org//productions/240036/,"http://ftp.amigascne.org/pub/amiga/Groups/P/Prophecy/PROPHECY-TheScene04.adf, https://archive.scene.org/pub/mirrors/amigascne/Groups/P/Prophecy/PROPHECY-TheScene04.adf, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/P/Prophecy/PROPHECY-TheScene04.adf","http://janeway.exotica.org.uk/release.php?id=23715, https://www.pouet.net/prod.php?which=86015"
The Scene Post 0,The Scene Post,MS-Dos,,July 1994,01.07.1994,https://demozoo.org//productions/98516/,"ftp://ftp.shroo.ms/artscene/emags/1994/scnpost0.zip, https://files.scene.org/get/mags/the_scene_post/scene-ff.zip, https://files.scene.org/view/mags/the_scene_post/scene-ff.zip",
The Scene Post 1,The Scene Post,MS-Dos,,16 July 1994,16.07.1994,https://demozoo.org//productions/98517/,"ftp://ftp.shroo.ms/artscene/emags/1994/scnpost1.zip, https://files.scene.org/get/mags/the_scene_post/scene-fe.zip, https://files.scene.org/view/mags/the_scene_post/scene-fe.zip",
The Scene Post 2,The Scene Post,MS-Dos,,August 1994,01.08.1994,https://demozoo.org//productions/98518/,"ftp://ftp.shroo.ms/artscene/emags/1994/scnpost2.zip, https://files.scene.org/get/mags/the_scene_post/scene_fd.zip, https://files.scene.org/view/mags/the_scene_post/scene_fd.zip",
The Scene Post 3,The Scene Post,MS-Dos,,20 September 1994,20.09.1994,https://demozoo.org//productions/98519/,"ftp://ftp.shroo.ms/artscene/emags/1994/scnpost3.zip, https://files.scene.org/get/mags/the_scene_post/scene-fc.zip, https://files.scene.org/view/mags/the_scene_post/scene-fc.zip",
The Scene Press #1,The Scene Press,Amiga AGA,Nerve Axis,8 February 1999,08.02.1999,https://demozoo.org//productions/139494/,"http://aminet.net/pub/aminet/demo/mag/tsp01.lha, https://files.scene.org/get/mags/the_scene_press/tsp01.lha, https://files.scene.org/view/mags/the_scene_press/tsp01.lha","http://janeway.exotica.org.uk/release.php?id=27690, https://www.pouet.net/prod.php?which=199"
The Settlers 2 Gold Edition Review,The Settlers 2 Gold Edition Review,MS-Dos,The Reviewers Guild,15 April 1997,15.04.1997,https://demozoo.org//productions/287726/,"https://files.scene.org/get/mags/reviews/trg/the_settlers_2_gold_edition_review.zip, https://files.scene.org/view/mags/reviews/trg/the_settlers_2_gold_edition_review.zip",
The Seven Blades of Thorvalia,The Seven Blades of Thorvalia,Amiga OCS/ECS,The Magic Guild,1994,01.01.1994,https://demozoo.org//productions/214233/,"http://ftp.amigascne.org/pub/amiga/Groups/T/The_Magic_Guild/TheMagicGuild-The7BladesofThorvalia.dms, https://archive.scene.org/pub/mirrors/amigascne/Groups/T/The_Magic_Guild/TheMagicGuild-The7BladesofThorvalia.dms, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/T/The_Magic_Guild/TheMagicGuild-The7BladesofThorvalia.dms","http://janeway.exotica.org.uk/release.php?id=25238, https://www.pouet.net/prod.php?which=32887"
The Software Review #3,The Software Review,MS-Dos,The Software Review Staff,17 April 1992,17.04.1992,https://demozoo.org//productions/290822/,"https://files.scene.org/get/demos/compilations/lost_found_and_more/mags_reviews/tsr_3.zip, https://files.scene.org/view/demos/compilations/lost_found_and_more/mags_reviews/tsr_3.zip",
The Summoning General Docs,The Summoning General Docs,MS-Dos,FairDox,20 September 1992,20.09.1992,https://demozoo.org//productions/290841/,"https://files.scene.org/get/demos/compilations/lost_found_and_more/dox/the_summoning_general_docs.zip, https://files.scene.org/view/demos/compilations/lost_found_and_more/dox/the_summoning_general_docs.zip",
The Swiss Technoguide (3/97),The Swiss Technoguide,MS-Dos,Wire Maniacs,1997,01.01.1997,https://demozoo.org//productions/172864/,"https://files.scene.org/get/mags/swiss_techno_guide/%28wm%290397.zip, https://files.scene.org/view/mags/swiss_techno_guide/%28wm%290397.zip, https://files.scene.org/get/mirrors/scenesp.org/compilations/blastersound_bbs/demos/%28WM%290397.ZIP, https://files.scene.org/view/mirrors/scenesp.org/compilations/blastersound_bbs/demos/%28WM%290397.ZIP",https://www.pouet.net/prod.php?which=70273
The Third Dimension 01,The Third Dimension,Atari ST/E,Tony Hartley,May 1994,01.05.1994,https://demozoo.org//productions/82046/,https://ftp.untergrund.net/users/ltk_tscc/fujiology/MAGS/3RD_DIM/3RDDM01.ZIP,
The Third Dimension 02,The Third Dimension,Atari ST/E,Tony Hartley,June 1994,01.06.1994,https://demozoo.org//productions/82047/,https://ftp.untergrund.net/users/ltk_tscc/fujiology/MAGS/3RD_DIM/3RDDM02.ZIP,
The Third Dimension 03,The Third Dimension,Atari ST/E,Tony Hartley,July 1994,01.07.1994,https://demozoo.org//productions/82048/,https://ftp.untergrund.net/users/ltk_tscc/fujiology/MAGS/3RD_DIM/3RDDM03.ZIP,
The Third Dimension 04,The Third Dimension,Atari ST/E,Tony Hartley,August 1994,01.08.1994,https://demozoo.org//productions/82049/,https://ftp.untergrund.net/users/ltk_tscc/fujiology/MAGS/3RD_DIM/3RDDM04.ZIP,
The Third Dimension 05,The Third Dimension,Atari ST/E,Tony Hartley,September 1994,01.09.1994,https://demozoo.org//productions/82050/,https://ftp.untergrund.net/users/ltk_tscc/fujiology/MAGS/3RD_DIM/3RDDM05.ZIP,
The Third Dimension 06,The Third Dimension,Atari ST/E,Tony Hartley,October 1994,01.10.1994,https://demozoo.org//productions/82051/,https://ftp.untergrund.net/users/ltk_tscc/fujiology/MAGS/3RD_DIM/3RDDM06.ZIP,
The Third Dimension 07,The Third Dimension,Atari ST/E,Tony Hartley,November 1994,01.11.1994,https://demozoo.org//productions/82052/,https://ftp.untergrund.net/users/ltk_tscc/fujiology/MAGS/3RD_DIM/3RDDM07.ZIP,
The Third Dimension 08,The Third Dimension,Atari ST/E,Tony Hartley,December 1994,01.12.1994,https://demozoo.org//productions/82053/,https://ftp.untergrund.net/users/ltk_tscc/fujiology/MAGS/3RD_DIM/3RDDM08.ZIP,
The Third Dimension 09,The Third Dimension,Atari ST/E,Tony Hartley,,,https://demozoo.org//productions/82054/,https://ftp.untergrund.net/users/ltk_tscc/fujiology/MAGS/3RD_DIM/3RDDM09.ZIP,
The Third Dimension 10,The Third Dimension,Atari ST/E,Tony Hartley,,,https://demozoo.org//productions/82055/,https://ftp.untergrund.net/users/ltk_tscc/fujiology/MAGS/3RD_DIM/3RDDM10.ZIP,
The Third Dimension 11,The Third Dimension,Atari ST/E,Tony Hartley,,,https://demozoo.org//productions/82056/,https://ftp.untergrund.net/users/ltk_tscc/fujiology/MAGS/3RD_DIM/3RDDM11.ZIP,
The Third Dimension 12,The Third Dimension,Atari ST/E,Tony Hartley,,,https://demozoo.org//productions/82057/,https://ftp.untergrund.net/users/ltk_tscc/fujiology/MAGS/3RD_DIM/3RDDM12.ZIP,
The Third Dimension 13,The Third Dimension,Atari ST/E,Tony Hartley,,,https://demozoo.org//productions/82058/,https://ftp.untergrund.net/users/ltk_tscc/fujiology/MAGS/3RD_DIM/3RDDM13.ZIP,
