issue,title,platform,group,release,release_converted,link,download_links,external_links
Eurochart 23,Eurochart,Amiga OCS/ECS,Static Bytes,January 1994,01.01.1994,https://demozoo.org//productions/119817/,,"http://janeway.exotica.org.uk/release.php?id=10003, https://www.pouet.net/prod.php?which=11077"
Eurochart 24,Eurochart,Amiga OCS/ECS,Static Bytes,March 1994,01.03.1994,https://demozoo.org//productions/119818/,,"http://janeway.exotica.org.uk/release.php?id=10233, https://www.pouet.net/prod.php?which=11076"
Eurochart 25,Eurochart,Amiga OCS/ECS,Static Bytes,25 June 1994 at,25.06.1994,https://demozoo.org//productions/119683/,"https://files.scene.org/get/mags/eurochart/eurochart25a.lha, https://files.scene.org/view/mags/eurochart/eurochart25a.lha, https://files.scene.org/get/mags/eurochart/eurochart25b.lha, https://files.scene.org/view/mags/eurochart/eurochart25b.lha","http://janeway.exotica.org.uk/release.php?id=10341, https://www.pouet.net/prod.php?which=20013"
Eurochart 26,Eurochart,Amiga OCS/ECS,Static Bytes,November 1994,01.11.1994,https://demozoo.org//productions/119819/,,"http://janeway.exotica.org.uk/release.php?id=10519, https://www.pouet.net/prod.php?which=20014"
Eurochart 27,Eurochart,Amiga OCS/ECS,Static Bytes,8 July 1995 at,08.07.1995,https://demozoo.org//productions/119820/,"http://ftp.amigascne.org/pub/amiga/Groups/S/Static_Bytes/STB-Eurochart27A.dms, https://archive.scene.org/pub/mirrors/amigascne/Groups/S/Static_Bytes/STB-Eurochart27A.dms, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/S/Static_Bytes/STB-Eurochart27A.dms","http://janeway.exotica.org.uk/release.php?id=10876, https://www.pouet.net/prod.php?which=20015"
Eurochart 28,Eurochart,Amiga OCS/ECS,Depth,29 December 1996 at,29.12.1996,https://demozoo.org//productions/119693/,"https://files.scene.org/get/mags/eurochart/ec28-a.lha, https://files.scene.org/view/mags/eurochart/ec28-a.lha, https://files.scene.org/get/mags/eurochart/ec28-b.lha, https://files.scene.org/view/mags/eurochart/ec28-b.lha, https://files.scene.org/get/mags/eurochart/ec28font.lha, https://files.scene.org/view/mags/eurochart/ec28font.lha","http://janeway.exotica.org.uk/release.php?id=747, https://www.pouet.net/prod.php?which=20020"
Eurochart 29,Eurochart,Amiga AGA,Depth,30 March 1997 at,30.03.1997,https://demozoo.org//productions/119694/,"https://files.scene.org/get/mags/eurochart/euroc29a.lha, https://files.scene.org/view/mags/eurochart/euroc29a.lha, https://files.scene.org/get/mags/eurochart/euroc29b.lha, https://files.scene.org/view/mags/eurochart/euroc29b.lha","http://janeway.exotica.org.uk/release.php?id=11529, https://www.pouet.net/prod.php?which=20021"
Eurochart 30,Eurochart,Amiga AGA,Depth,5 July 1997 at,05.07.1997,https://demozoo.org//productions/97462/,"https://files.scene.org/get/mags/eurochart/euroc30a.lha, https://files.scene.org/view/mags/eurochart/euroc30a.lha, https://files.scene.org/get/mags/eurochart/euroc30b.lha, https://files.scene.org/view/mags/eurochart/euroc30b.lha","http://janeway.exotica.org.uk/release.php?id=11574, https://www.pouet.net/prod.php?which=20022"
EuroChart 31,Eurochart,Amiga AGA,Depth,October 1997,01.10.1997,https://demozoo.org//productions/10161/,"https://files.scene.org/get/mags/eurochart/dp_ec31a.lha, https://files.scene.org/view/mags/eurochart/dp_ec31a.lha, https://files.scene.org/get/mags/eurochart/dp_ec31b.lha, https://files.scene.org/view/mags/eurochart/dp_ec31b.lha, https://files.scene.org/get/mags/eurochart/ec31-art.lha, https://files.scene.org/view/mags/eurochart/ec31-art.lha","http://janeway.exotica.org.uk/release.php?id=11638, https://www.pouet.net/prod.php?which=20023"
Eurochart 32,Eurochart,Amiga AGA,Depth,28 December 1997 at,28.12.1997,https://demozoo.org//productions/119701/,"https://files.scene.org/get/mags/eurochart/ec32a.lha, https://files.scene.org/view/mags/eurochart/ec32a.lha, https://files.scene.org/get/mags/eurochart/ec32b.lha, https://files.scene.org/view/mags/eurochart/ec32b.lha","http://janeway.exotica.org.uk/release.php?id=11683, https://www.pouet.net/prod.php?which=20024"
Eurochart 32 Intro,Eurochart,Amiga AGA,"Depth, Efreet",29 December 1997,29.12.1997,https://demozoo.org//productions/19414/,"http://ftp.amigascne.org/pub/amiga/Groups/D/Depth/Depth%5EEfreet-EC32Intro, https://archive.scene.org/pub/mirrors/amigascne/Groups/D/Depth/Depth%5EEfreet-EC32Intro, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/D/Depth/Depth%5EEfreet-EC32Intro","http://janeway.exotica.org.uk/release.php?id=18667, https://www.pouet.net/prod.php?which=57031"
EuroChart 33,Eurochart,Amiga AGA,Depth,12 April 1998 at,12.04.1998,https://demozoo.org//productions/9990/,"https://files.scene.org/get/mags/eurochart/ec-33a.dms, https://files.scene.org/view/mags/eurochart/ec-33a.dms, https://files.scene.org/get/mags/eurochart/ec-33b.dms, https://files.scene.org/view/mags/eurochart/ec-33b.dms, https://files.scene.org/get/mags/eurochart/ec-33c.dms, https://files.scene.org/view/mags/eurochart/ec-33c.dms","http://janeway.exotica.org.uk/release.php?id=11802, https://www.pouet.net/prod.php?which=20025"
Eurochart 34,Eurochart,Amiga AGA,Depth,July 1998,01.07.1998,https://demozoo.org//productions/119703/,"https://files.scene.org/get/mags/eurochart/ec34a.lha, https://files.scene.org/view/mags/eurochart/ec34a.lha, https://files.scene.org/get/mags/eurochart/ec34b.lha, https://files.scene.org/view/mags/eurochart/ec34b.lha, https://files.scene.org/get/mags/eurochart/ec34c.lha, https://files.scene.org/view/mags/eurochart/ec34c.lha","http://janeway.exotica.org.uk/release.php?id=11826, https://www.pouet.net/prod.php?which=20026"
Eurochart 35,Eurochart,Amiga AGA,Depth,October 1998,01.10.1998,https://demozoo.org//productions/119704/,"https://files.scene.org/get/mags/eurochart/ec35a.lha, https://files.scene.org/view/mags/eurochart/ec35a.lha, https://files.scene.org/get/mags/eurochart/ec35b.lha, https://files.scene.org/view/mags/eurochart/ec35b.lha, https://files.scene.org/get/mags/eurochart/ec35c.lha, https://files.scene.org/view/mags/eurochart/ec35c.lha","http://janeway.exotica.org.uk/release.php?id=11859, https://www.pouet.net/prod.php?which=20027"
Eurochart 36,Eurochart,Amiga AGA,Depth,February 1999,01.02.1999,https://demozoo.org//productions/119705/,,"http://janeway.exotica.org.uk/release.php?id=11919, https://www.pouet.net/prod.php?which=20028"
Eurochart 37,Eurochart,Amiga AGA,Depth,April 1999,01.04.1999,https://demozoo.org//productions/119706/,"http://ftp.amigascne.org/pub/amiga/Groups/D/Depth/Eurochart37a.lha, https://archive.scene.org/pub/mirrors/amigascne/Groups/D/Depth/Eurochart37a.lha, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/D/Depth/Eurochart37a.lha, http://ftp.amigascne.org/pub/amiga/Groups/D/Depth/Eurochart37b.lha, https://archive.scene.org/pub/mirrors/amigascne/Groups/D/Depth/Eurochart37b.lha, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/D/Depth/Eurochart37b.lha, https://files.scene.org/get/mags/eurochart/Eurochart37a.lha, https://files.scene.org/view/mags/eurochart/Eurochart37a.lha, https://files.scene.org/get/mags/eurochart/Eurochart37b.lha, https://files.scene.org/view/mags/eurochart/Eurochart37b.lha","http://janeway.exotica.org.uk/release.php?id=11948, https://www.pouet.net/prod.php?which=20029"
Eurochart 38,Eurochart,Amiga AGA,Depth,August 1999,01.08.1999,https://demozoo.org//productions/119707/,"http://ftp.amigascne.org/pub/amiga/Groups/D/Depth/Eurochart38a.lha, https://archive.scene.org/pub/mirrors/amigascne/Groups/D/Depth/Eurochart38a.lha, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/D/Depth/Eurochart38a.lha, http://ftp.amigascne.org/pub/amiga/Groups/D/Depth/Eurochart38b.lha, https://archive.scene.org/pub/mirrors/amigascne/Groups/D/Depth/Eurochart38b.lha, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/D/Depth/Eurochart38b.lha, http://ftp.amigascne.org/pub/amiga/Groups/D/Depth/Eurochart38c.lha, https://archive.scene.org/pub/mirrors/amigascne/Groups/D/Depth/Eurochart38c.lha, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/D/Depth/Eurochart38c.lha, https://files.scene.org/get/mags/eurochart/eurochart38a.lha, https://files.scene.org/view/mags/eurochart/eurochart38a.lha, https://files.scene.org/get/mags/eurochart/eurochart38b.lha, https://files.scene.org/view/mags/eurochart/eurochart38b.lha, https://files.scene.org/get/mags/eurochart/eurochart38c.lha, https://files.scene.org/view/mags/eurochart/eurochart38c.lha","http://janeway.exotica.org.uk/release.php?id=11995, https://www.pouet.net/prod.php?which=20030"
Eurochart 39,Eurochart,Amiga AGA,"Depth, Iris",December 1999,01.12.1999,https://demozoo.org//productions/90406/,"http://ftp.amigascne.org/pub/amiga/Groups/D/Depth/Eurochart39a.lha, https://archive.scene.org/pub/mirrors/amigascne/Groups/D/Depth/Eurochart39a.lha, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/D/Depth/Eurochart39a.lha, http://ftp.amigascne.org/pub/amiga/Groups/D/Depth/Eurochart39b.lha, https://archive.scene.org/pub/mirrors/amigascne/Groups/D/Depth/Eurochart39b.lha, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/D/Depth/Eurochart39b.lha, http://ftp.amigascne.org/pub/amiga/Groups/D/Depth/Eurochart39c.lha, https://archive.scene.org/pub/mirrors/amigascne/Groups/D/Depth/Eurochart39c.lha, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/D/Depth/Eurochart39c.lha, https://files.scene.org/get/mags/eurochart/eurochart39a.lha, https://files.scene.org/view/mags/eurochart/eurochart39a.lha, https://files.scene.org/get/mags/eurochart/eurochart39b.lha, https://files.scene.org/view/mags/eurochart/eurochart39b.lha, https://files.scene.org/get/mags/eurochart/eurochart39c.lha, https://files.scene.org/view/mags/eurochart/eurochart39c.lha","http://janeway.exotica.org.uk/release.php?id=12010, https://www.pouet.net/prod.php?which=14465"
