,issue,title,platform,release,collection,creator,description,downloads,format,identifier,item_size,language,mediatype,num_reviews,oai_updatedate,publicdate,publisher,reviewdate,subject,link
102,Peeker Nr. 27 (1987)(Dr. Alfred Huethig Verlag)(DE),Peeker,APPLE II,01.01.1987,"apple_ii_library_magazines,softwarelibrary,softwarelibrary_apple,emulation",,Peeker Nr. 27 (1987)(Dr. Alfred Huethig Verlag)(DE),98,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",a2_Peeker_Nr._27_1987_Dr._Alfred_Huethig_Verlag_DE,261768,English,software,,"22.06.2014, 22.03.2022",22.06.2014,,,,https://archive.org/details/a2_Peeker_Nr._27_1987_Dr._Alfred_Huethig_Verlag_DE
103,Peeker Nr. 28 (1987)(Dr. Alfred Huethig Verlag)(DE),Peeker,APPLE II,01.01.1987,"apple_ii_library_magazines,softwarelibrary,softwarelibrary_apple,emulation",,Peeker Nr. 28 (1987)(Dr. Alfred Huethig Verlag)(DE),104,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",a2_Peeker_Nr._28_1987_Dr._Alfred_Huethig_Verlag_DE,261527,English,software,,"22.06.2014, 29.03.2022",22.06.2014,,,,https://archive.org/details/a2_Peeker_Nr._28_1987_Dr._Alfred_Huethig_Verlag_DE
104,RIAG Contributor's Disk 4 Exec Utility,RIAG,APPLE II,,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary",,RIAG Contributor's Disk 4 Exec Utility,73,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",RIAG_Contributors_Disk_4_Exec_Utility,292254,English,software,,"30.08.2016, 17.01.2017",30.08.2016,,,,https://archive.org/details/RIAG_Contributors_Disk_4_Exec_Utility
105,RIAG Volume 350 Ram Disk IIe,RIAG,APPLE II,,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary",,RIAG Volume 350 Ram Disk IIe,64,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",RIAG_Volume_350_Ram_Disk_IIe,192381,English,software,,"26.08.2016, 02.02.2017",26.08.2016,,,,https://archive.org/details/RIAG_Volume_350_Ram_Disk_IIe
106,Softdisk Keeper August 1983 Side 1,Softdisk Keeper,APPLE II,01.08.1983,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary",,Softdisk Keeper August 1983 Side 1,94,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",Softdisk_Keeper_August_1983_Side_1,263976,English,software,,"29.08.2016, 29.01.2017",29.08.2016,,,,https://archive.org/details/Softdisk_Keeper_August_1983_Side_1
107,Softdisk Keeper August 1983 Side 2,Softdisk Keeper,APPLE II,01.08.1983,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary",,Softdisk Keeper August 1983 Side 2,109,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",Softdisk_Keeper_August_1983_Side_2,1026783,English,software,,"29.08.2016, 29.01.2017",29.08.2016,,,,https://archive.org/details/Softdisk_Keeper_August_1983_Side_2
108,Softdisk Keeper October 1983 Side 1,Softdisk Keeper,APPLE II,01.10.1983,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary",,Softdisk Keeper October 1983 Side 1,89,"Advanced Audio Coding,Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata",Softdisk_Keeper_October_1983_Side_1,241611,English,software,,"29.08.2016, 29.01.2017",29.08.2016,,,,https://archive.org/details/Softdisk_Keeper_October_1983_Side_1
109,Softdisk Magazette April 1983 Side 1,Softdisk Magazette,APPLE II,01.04.1983,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary",,Softdisk Magazette April 1983 Side 1,94,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",Softdisk_Magazette_April_1983_Side_1,265038,English,software,,"29.08.2016, 24.01.2017",29.08.2016,,,,https://archive.org/details/Softdisk_Magazette_April_1983_Side_1
110,Softdisk Magazette April 1983 Side 2,Softdisk Magazette,APPLE II,01.04.1983,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary",,Softdisk Magazette April 1983 Side 2,90,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",Softdisk_Magazette_April_1983_Side_2,241852,English,software,,"29.08.2016, 24.01.2017",29.08.2016,,,,https://archive.org/details/Softdisk_Magazette_April_1983_Side_2
111,Softdisk Magazette August 1983,Softdisk Magazette,APPLE II,01.08.1983,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary,fav-chris_spahn",,Softdisk Magazette August 1983,107,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",Softdisk_Magazette_August_1983,318510,English,software,,"29.08.2016, 24.01.2017",29.08.2016,,,,https://archive.org/details/Softdisk_Magazette_August_1983
112,Softdisk Magazette June 1983 Side 1,Softdisk Magazette,APPLE II,01.06.1983,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary",,Softdisk Magazette June 1983 Side 1,105,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",Softdisk_Magazette_June_1983_Side_1,326255,English,software,,"29.08.2016, 09.01.2017",29.08.2016,,,,https://archive.org/details/Softdisk_Magazette_June_1983_Side_1
113,Softdisk Magazette June 1983 Side 2,Softdisk Magazette,APPLE II,01.06.1983,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary",,Softdisk Magazette June 1983 Side 2,95,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",Softdisk_Magazette_June_1983_Side_2,312733,English,software,,"29.08.2016, 09.01.2017",29.08.2016,,,,https://archive.org/details/Softdisk_Magazette_June_1983_Side_2
114,Softdisk Magazette Keeper May 1983 Side 1,Softdisk Magazette,APPLE II,01.05.1983,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary",,Softdisk Magazette Keeper May 1983 Side 1,99,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",Softdisk_Magazette_Keeper_May_1983_Side_1,264170,English,software,,"29.08.2016, 29.01.2017",29.08.2016,,,,https://archive.org/details/Softdisk_Magazette_Keeper_May_1983_Side_1
115,Softdisk Magazette Keeper May 1983 Side 2,Softdisk Magazette,APPLE II,01.05.1983,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary",,Softdisk Magazette Keeper May 1983 Side 2,99,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",Softdisk_Magazette_Keeper_May_1983_Side_2,244259,English,software,,"29.08.2016, 29.01.2017",29.08.2016,,,,https://archive.org/details/Softdisk_Magazette_Keeper_May_1983_Side_2
116,Softdisk Magazette Keeper November 1983 Side 1,Softdisk Magazette,APPLE II,01.11.1983,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary",,Softdisk Magazette Keeper November 1983 Side 1,95,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",Softdisk_Magazette_Keeper_November_1983_Side_1,438877,English,software,,"29.08.2016, 24.01.2017",29.08.2016,,,,https://archive.org/details/Softdisk_Magazette_Keeper_November_1983_Side_1
117,Softdisk Magazette Keeper November 1983 Side 2,Softdisk Magazette,APPLE II,01.11.1983,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary",,Softdisk Magazette Keeper November 1983 Side 2,127,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",Softdisk_Magazette_Keeper_November_1983_Side_2,438950,English,software,,"29.08.2016, 24.01.2017",29.08.2016,,,,https://archive.org/details/Softdisk_Magazette_Keeper_November_1983_Side_2
118,Softdisk Magazette May 1983 Side 1,Softdisk Magazette,APPLE II,01.05.1983,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary",,Softdisk Magazette May 1983 Side 1,103,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",Softdisk_Magazette_May_1983_Side_1,316725,English,software,,"29.08.2016, 14.01.2017",29.08.2016,,,,https://archive.org/details/Softdisk_Magazette_May_1983_Side_1
119,Softdisk Magazette May 1983 Side 2,Softdisk Magazette,APPLE II,01.05.1983,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary",,Softdisk Magazette May 1983 Side 2,118,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",Softdisk_Magazette_May_1983_Side_2,313466,English,software,,"29.08.2016, 14.01.2017",29.08.2016,,,,https://archive.org/details/Softdisk_Magazette_May_1983_Side_2
120,Softdisk Magazette November 1983 Side 1,Softdisk Magazette,APPLE II,01.11.1983,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary",,Softdisk Magazette November 1983 Side 1,85,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",Softdisk_Magazette_November_1983_Side_1,241671,English,software,,"29.08.2016, 29.01.2017",29.08.2016,,,,https://archive.org/details/Softdisk_Magazette_November_1983_Side_1
121,Softdisk Magazette November 1983 Side 2,Softdisk Magazette,APPLE II,01.11.1983,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary",,Softdisk Magazette November 1983 Side 2,91,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",Softdisk_Magazette_November_1983_Side_2,437268,English,software,,"29.08.2016, 29.01.2017",29.08.2016,,,,https://archive.org/details/Softdisk_Magazette_November_1983_Side_2
122,Softdisk Magazette October 1982 Side 1,Softdisk Magazette,APPLE II,01.10.1982,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary",,Softdisk Magazette October 1982 Side 1,104,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",Softdisk_Magazette_October_1982_Side_1,273524,English,software,,"29.08.2016, 29.01.2017",29.08.2016,,,,https://archive.org/details/Softdisk_Magazette_October_1982_Side_1
123,Softdisk Magazette October 1982 Side 2,Softdisk Magazette,APPLE II,01.10.1982,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary",,Softdisk Magazette October 1982 Side 2,86,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",Softdisk_Magazette_October_1982_Side_2,309746,English,software,,"29.08.2016, 29.01.2017",29.08.2016,,,,https://archive.org/details/Softdisk_Magazette_October_1982_Side_2
124,Softdisk Magazette October 1983 Side 1,Softdisk Magazette,APPLE II,01.10.1982,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary",,Softdisk Magazette October 1983 Side 1,94,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",Softdisk_Magazette_October_1983_Side_1,241654,English,software,,"29.08.2016, 24.01.2017",29.08.2016,,,,https://archive.org/details/Softdisk_Magazette_October_1983_Side_1
125,Softdisk Magazette September 1983 Side 1,Softdisk Magazette,APPLE II,01.09.1983,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary",,Softdisk Magazette September 1983 Side 1,95,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",Softdisk_Magazette_September_1983_Side_1,241686,English,software,,"29.08.2016, 29.01.2017",29.08.2016,,,,https://archive.org/details/Softdisk_Magazette_September_1983_Side_1
126,Softdisk Magazette September 1983 Side 2,Softdisk Magazette,APPLE II,01.09.1983,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary",,Softdisk Magazette September 1983 Side 2,103,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",Softdisk_Magazette_September_1983_Side_2,318781,English,software,,"29.08.2016, 29.01.2017",29.08.2016,,,,https://archive.org/details/Softdisk_Magazette_September_1983_Side_2
127,"Softdisk Magazette Volume 1, No. 05 (1982-01)(Softdisk)(Side A)",Softdisk Magazette,APPLE II,01.01.1982,"apple_ii_library_magazines,softwarelibrary,softwarelibrary_apple,emulation",,"Softdisk Magazette Volume 1, No. 05 (1982-01)(Softdisk)(Side A)",122,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",a2_Softdisk_Magazette_Volume_1_No._05_1982_01_Softdisk_Side_A,198735,English,software,,"22.06.2014, 23.03.2022",22.06.2014,,,,https://archive.org/details/a2_Softdisk_Magazette_Volume_1_No._05_1982_01_Softdisk_Side_A
128,"Softdisk Magazette Volume 1, No. 05 (1982-01)(Softdisk)(Side B)",Softdisk Magazette,APPLE II,01.01.1982,"apple_ii_library_magazines,softwarelibrary,softwarelibrary_apple,emulation",,"Softdisk Magazette Volume 1, No. 05 (1982-01)(Softdisk)(Side B)",179,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",a2_Softdisk_Magazette_Volume_1_No._05_1982_01_Softdisk_Side_B,198735,English,software,,"22.06.2014, 16.03.2022",22.06.2014,,,,https://archive.org/details/a2_Softdisk_Magazette_Volume_1_No._05_1982_01_Softdisk_Side_B
129,"Softdisk Magazette Volume 1, No. 06 (1982-02)(Softdisk)(Side A)(b)",Softdisk Magazette,APPLE II,01.02.1982,"apple_ii_library_magazines,softwarelibrary,softwarelibrary_apple,emulation",,"Softdisk Magazette Volume 1, No. 06 (1982-02)(Softdisk)(Side A)[b]",386,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",a2_Softdisk_Magazette_Volume_1_No._06_1982_02_Softdisk_Side_A_b,196741,English,software,1.0,"22.06.2014, 21.03.2022, 03.04.2015",22.06.2014,,03.04.2015,,https://archive.org/details/a2_Softdisk_Magazette_Volume_1_No._06_1982_02_Softdisk_Side_A_b
130,"Softdisk Magazette Volume 1, No. 06 (1982-02)(Softdisk)(Side B)",Softdisk Magazette,APPLE II,01.02.1982,"apple_ii_library_magazines,softwarelibrary,softwarelibrary_apple,emulation",,"Softdisk Magazette Volume 1, No. 06 (1982-02)(Softdisk)(Side B)",225,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",a2_Softdisk_Magazette_Volume_1_No._06_1982_02_Softdisk_Side_B,199270,English,software,1.0,"22.06.2014, 21.03.2022, 24.01.2015",22.06.2014,,24.01.2015,,https://archive.org/details/a2_Softdisk_Magazette_Volume_1_No._06_1982_02_Softdisk_Side_B
131,"Softdisk Magazette Volume 1, No. 07 (1982-03)(Softdisk)(Side A)",Softdisk Magazette,APPLE II,01.03.1982,"apple_ii_library_magazines,softwarelibrary,softwarelibrary_apple,emulation",,"Softdisk Magazette Volume 1, No. 07 (1982-03)(Softdisk)(Side A)",114,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",a2_Softdisk_Magazette_Volume_1_No._07_1982_03_Softdisk_Side_A,196185,English,software,,"22.06.2014, 20.03.2022",22.06.2014,,,,https://archive.org/details/a2_Softdisk_Magazette_Volume_1_No._07_1982_03_Softdisk_Side_A
132,"Softdisk Magazette Volume 1, No. 07 (1982-03)(Softdisk)(Side B)",Softdisk Magazette,APPLE II,01.03.1982,"apple_ii_library_magazines,softwarelibrary,softwarelibrary_apple,emulation",,"Softdisk Magazette Volume 1, No. 07 (1982-03)(Softdisk)(Side B)",107,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",a2_Softdisk_Magazette_Volume_1_No._07_1982_03_Softdisk_Side_B,198733,English,software,,"22.06.2014, 18.03.2022",22.06.2014,,,,https://archive.org/details/a2_Softdisk_Magazette_Volume_1_No._07_1982_03_Softdisk_Side_B
133,"Softdisk Magazette Volume 1, No. 09 (1982-05)(Softdisk)(Side A)",Softdisk Magazette,APPLE II,01.05.1982,"apple_ii_library_magazines,softwarelibrary,softwarelibrary_apple,emulation",,"Softdisk Magazette Volume 1, No. 09 (1982-05)(Softdisk)(Side A)",138,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",a2_Softdisk_Magazette_Volume_1_No._09_1982_05_Softdisk_Side_A,198735,English,software,,"22.06.2014, 24.03.2022",22.06.2014,,,,https://archive.org/details/a2_Softdisk_Magazette_Volume_1_No._09_1982_05_Softdisk_Side_A
134,"Softdisk Magazette Volume 1, No. 09 (1982-05)(Softdisk)(Side B)",Softdisk Magazette,APPLE II,01.05.1982,"apple_ii_library_magazines,softwarelibrary,softwarelibrary_apple,emulation",,"Softdisk Magazette Volume 1, No. 09 (1982-05)(Softdisk)(Side B)",164,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",a2_Softdisk_Magazette_Volume_1_No._09_1982_05_Softdisk_Side_B,198735,English,software,,"22.06.2014, 22.03.2022",22.06.2014,,,,https://archive.org/details/a2_Softdisk_Magazette_Volume_1_No._09_1982_05_Softdisk_Side_B
135,"Softdisk Magazette Volume 1, No. 10 (1982-06)(Softdisk)(Side A)",Softdisk Magazette,APPLE II,01.06.1982,"apple_ii_library_magazines,softwarelibrary,softwarelibrary_apple,emulation",,"Softdisk Magazette Volume 1, No. 10 (1982-06)(Softdisk)(Side A)",122,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",a2_Softdisk_Magazette_Volume_1_No._10_1982_06_Softdisk_Side_A,198803,English,software,,"22.06.2014, 21.03.2022",22.06.2014,,,,https://archive.org/details/a2_Softdisk_Magazette_Volume_1_No._10_1982_06_Softdisk_Side_A
136,"Softdisk Magazette Volume 1, No. 10 (1982-06)(Softdisk)(Side B)",Softdisk Magazette,APPLE II,01.06.1982,"apple_ii_library_magazines,softwarelibrary,softwarelibrary_apple,emulation",,"Softdisk Magazette Volume 1, No. 10 (1982-06)(Softdisk)(Side B)",104,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",a2_Softdisk_Magazette_Volume_1_No._10_1982_06_Softdisk_Side_B,198735,English,software,,"22.06.2014, 19.03.2022",22.06.2014,,,,https://archive.org/details/a2_Softdisk_Magazette_Volume_1_No._10_1982_06_Softdisk_Side_B
137,"Softdisk Magazette Volume 1, No. 11 (1982-07)(Softdisk)(Side A)",Softdisk Magazette,APPLE II,01.07.1982,"apple_ii_library_magazines,softwarelibrary,softwarelibrary_apple,emulation",,"Softdisk Magazette Volume 1, No. 11 (1982-07)(Softdisk)(Side A)",133,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",a2_Softdisk_Magazette_Volume_1_No._11_1982_07_Softdisk_Side_A,198733,English,software,,"22.06.2014, 18.03.2022",22.06.2014,,,,https://archive.org/details/a2_Softdisk_Magazette_Volume_1_No._11_1982_07_Softdisk_Side_A
138,"Softdisk Magazette Volume 1, No. 11 (1982-07)(Softdisk)(Side B)",Softdisk Magazette,APPLE II,01.07.1982,"apple_ii_library_magazines,softwarelibrary,softwarelibrary_apple,emulation",,"Softdisk Magazette Volume 1, No. 11 (1982-07)(Softdisk)(Side B)",136,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",a2_Softdisk_Magazette_Volume_1_No._11_1982_07_Softdisk_Side_B,198733,English,software,,"22.06.2014, 25.03.2022",22.06.2014,,,,https://archive.org/details/a2_Softdisk_Magazette_Volume_1_No._11_1982_07_Softdisk_Side_B
139,"Softdisk Magazette Volume 1, No. 12 (1982-08)(Softdisk)(Side A)",Softdisk Magazette,APPLE II,01.08.1982,"apple_ii_library_magazines,softwarelibrary,softwarelibrary_apple,emulation",,"Softdisk Magazette Volume 1, No. 12 (1982-08)(Softdisk)(Side A)",99,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",a2_Softdisk_Magazette_Volume_1_No._12_1982_08_Softdisk_Side_A,196185,English,software,,"22.06.2014, 19.03.2022",22.06.2014,,,,https://archive.org/details/a2_Softdisk_Magazette_Volume_1_No._12_1982_08_Softdisk_Side_A
140,"Softdisk Magazette Volume 1, No. 12 (1982-08)(Softdisk)(Side B)",Softdisk Magazette,APPLE II,01.08.1982,"apple_ii_library_magazines,softwarelibrary,softwarelibrary_apple,emulation",,"Softdisk Magazette Volume 1, No. 12 (1982-08)(Softdisk)(Side B)",112,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",a2_Softdisk_Magazette_Volume_1_No._12_1982_08_Softdisk_Side_B,198735,English,software,,"22.06.2014, 29.03.2022",22.06.2014,,,,https://archive.org/details/a2_Softdisk_Magazette_Volume_1_No._12_1982_08_Softdisk_Side_B
141,"Softdisk Magazette Volume 2, No. 01 (1982-09)(Softdisk)(Side A)",Softdisk Magazette,APPLE II,01.09.1982,"apple_ii_library_magazines,softwarelibrary,softwarelibrary_apple,emulation",,"Softdisk Magazette Volume 2, No. 01 (1982-09)(Softdisk)(Side A)",103,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",a2_Softdisk_Magazette_Volume_2_No._01_1982_09_Softdisk_Side_A,198735,English,software,,"22.06.2014, 28.03.2022",22.06.2014,,,,https://archive.org/details/a2_Softdisk_Magazette_Volume_2_No._01_1982_09_Softdisk_Side_A
142,"Softdisk Magazette Volume 2, No. 01 (1982-09)(Softdisk)(Side B)",Softdisk Magazette,APPLE II,01.09.1982,"apple_ii_library_magazines,softwarelibrary,softwarelibrary_apple,emulation",,"Softdisk Magazette Volume 2, No. 01 (1982-09)(Softdisk)(Side B)",99,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",a2_Softdisk_Magazette_Volume_2_No._01_1982_09_Softdisk_Side_B,198735,English,software,,"22.06.2014, 21.03.2022",22.06.2014,,,,https://archive.org/details/a2_Softdisk_Magazette_Volume_2_No._01_1982_09_Softdisk_Side_B
143,"Softdisk Magazette Volume 2, No. 02 (1982-10)(Softdisk)(Side A)",Softdisk Magazette,APPLE II,01.10.1982,"apple_ii_library_magazines,softwarelibrary,softwarelibrary_apple,emulation",,"Softdisk Magazette Volume 2, No. 02 (1982-10)(Softdisk)(Side A)",99,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",a2_Softdisk_Magazette_Volume_2_No._02_1982_10_Softdisk_Side_A,198735,English,software,,"22.06.2014, 18.03.2022",22.06.2014,,,,https://archive.org/details/a2_Softdisk_Magazette_Volume_2_No._02_1982_10_Softdisk_Side_A
144,"Softdisk Magazette Volume 2, No. 02 (1982-10)(Softdisk)(Side B)",Softdisk Magazette,APPLE II,01.10.1982,"apple_ii_library_magazines,softwarelibrary,softwarelibrary_apple,emulation",,"Softdisk Magazette Volume 2, No. 02 (1982-10)(Softdisk)(Side B)",113,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",a2_Softdisk_Magazette_Volume_2_No._02_1982_10_Softdisk_Side_B,198735,English,software,,"22.06.2014, 20.03.2022",22.06.2014,,,,https://archive.org/details/a2_Softdisk_Magazette_Volume_2_No._02_1982_10_Softdisk_Side_B
145,"Softdisk Magazette Volume 2, No. 03 (1982-11)(Softdisk)(Side A)",Softdisk Magazette,APPLE II,01.11.1982,"apple_ii_library_magazines,softwarelibrary,softwarelibrary_apple,emulation",,"Softdisk Magazette Volume 2, No. 03 (1982-11)(Softdisk)(Side A)",107,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",a2_Softdisk_Magazette_Volume_2_No._03_1982_11_Softdisk_Side_A,198733,English,software,,"22.06.2014, 17.03.2022",22.06.2014,,,,https://archive.org/details/a2_Softdisk_Magazette_Volume_2_No._03_1982_11_Softdisk_Side_A
146,"Softdisk Magazette Volume 2, No. 03 (1982-11)(Softdisk)(Side B)",Softdisk Magazette,APPLE II,01.11.1982,"apple_ii_library_magazines,softwarelibrary,softwarelibrary_apple,emulation",,"Softdisk Magazette Volume 2, No. 03 (1982-11)(Softdisk)(Side B)",100,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",a2_Softdisk_Magazette_Volume_2_No._03_1982_11_Softdisk_Side_B,198735,English,software,,"22.06.2014, 16.03.2022",22.06.2014,,,,https://archive.org/details/a2_Softdisk_Magazette_Volume_2_No._03_1982_11_Softdisk_Side_B
147,"Softdisk Magazette Volume 2, No. 04 (1982-12)(Softdisk)(Side A)",Softdisk Magazette,APPLE II,01.12.1982,"apple_ii_library_magazines,softwarelibrary,softwarelibrary_apple,emulation",,"Softdisk Magazette Volume 2, No. 04 (1982-12)(Softdisk)(Side A)",142,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",a2_Softdisk_Magazette_Volume_2_No._04_1982_12_Softdisk_Side_A,198735,English,software,,"22.06.2014, 18.03.2022",22.06.2014,,,,https://archive.org/details/a2_Softdisk_Magazette_Volume_2_No._04_1982_12_Softdisk_Side_A
148,"Softdisk Magazette Volume 2, No. 04 (1982-12)(Softdisk)(Side B)",Softdisk Magazette,APPLE II,01.12.1982,"apple_ii_library_magazines,softwarelibrary,softwarelibrary_apple,emulation",,"Softdisk Magazette Volume 2, No. 04 (1982-12)(Softdisk)(Side B)",108,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",a2_Softdisk_Magazette_Volume_2_No._04_1982_12_Softdisk_Side_B,198735,English,software,,"22.06.2014, 21.03.2022",22.06.2014,,,,https://archive.org/details/a2_Softdisk_Magazette_Volume_2_No._04_1982_12_Softdisk_Side_B
149,"Softdisk Magazette Volume 2, No. 05 (1983-01)(Softdisk)(Side A)",Softdisk Magazette,APPLE II,01.01.1983,"apple_ii_library_magazines,softwarelibrary,softwarelibrary_apple,emulation",,"Softdisk Magazette Volume 2, No. 05 (1983-01)(Softdisk)(Side A)",112,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",a2_Softdisk_Magazette_Volume_2_No._05_1983_01_Softdisk_Side_A,198733,English,software,,"22.06.2014, 18.03.2022",22.06.2014,,,,https://archive.org/details/a2_Softdisk_Magazette_Volume_2_No._05_1983_01_Softdisk_Side_A
150,"Softdisk Magazette Volume 2, No. 05 (1983-01)(Softdisk)(Side B)",Softdisk Magazette,APPLE II,01.01.1983,"apple_ii_library_magazines,softwarelibrary,softwarelibrary_apple,emulation",,"Softdisk Magazette Volume 2, No. 05 (1983-01)(Softdisk)(Side B)",94,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",a2_Softdisk_Magazette_Volume_2_No._05_1983_01_Softdisk_Side_B,196185,English,software,,"22.06.2014, 20.03.2022",22.06.2014,,,,https://archive.org/details/a2_Softdisk_Magazette_Volume_2_No._05_1983_01_Softdisk_Side_B
