issue,title,platform,group,release,release_converted,link,download_links,external_links
Adventurer #02,Adventurer,ZX Spectrum,CyberPunks Unity,march 1996,01.03.1996,https://www.pouet.net/prod.php?which=14714,http://cpu.untergrund.net/releases/advent/Advent2.zip,"http://demozoo.org/productions/165511/, https://www.pouet.net/mirrors.php?which=14714"
Adventurer #03,Adventurer,ZX Spectrum,CyberPunks Unity,may 1996,01.05.1996,https://www.pouet.net/prod.php?which=14713,http://cpu.untergrund.net/releases/advent/Advent3.zip,"http://demozoo.org/productions/165512/, https://www.pouet.net/mirrors.php?which=14713"
Adventurer #04,Adventurer,ZX Spectrum,CyberPunks Unity,august 1996,01.08.1996,https://www.pouet.net/prod.php?which=14712,http://cpu.untergrund.net/releases/advent/Advent4.zip,"http://demozoo.org/productions/165513/, https://www.pouet.net/mirrors.php?which=14712"
Adventurer #05,Adventurer,ZX Spectrum,CyberPunks Unity,december 1996,01.12.1996,https://www.pouet.net/prod.php?which=14711,http://cpu.untergrund.net/releases/advent/Advent5.zip,"http://demozoo.org/productions/165514/, https://www.pouet.net/mirrors.php?which=14711"
Adventurer #06,Adventurer,ZX Spectrum,CyberPunks Unity,march 1997,01.03.1997,https://www.pouet.net/prod.php?which=14716,http://cpu.untergrund.net/releases/advent/Advent6.zip,"http://demozoo.org/productions/165515/, https://www.pouet.net/mirrors.php?which=14716"
Adventurer #07,Adventurer,ZX Spectrum,CyberPunks Unity,february 1998,01.02.1998,https://www.pouet.net/prod.php?which=14710,http://cpu.untergrund.net/releases/advent/advent7.zip,"http://zxdemo.org/item.php?id=7, http://demozoo.org/productions/165516/, https://www.pouet.net/mirrors.php?which=14710"
Adventurer #08,Adventurer,ZX Spectrum,CyberPunks Unity,september 1998,01.09.1998,https://www.pouet.net/prod.php?which=14709,http://cpu.untergrund.net/releases/advent/Advent8.zip,"http://demozoo.org/productions/165517/, https://www.pouet.net/mirrors.php?which=14709"
Adventurer #09,Adventurer,ZX Spectrum,CyberPunks Unity,may 1999,01.05.1999,https://www.pouet.net/prod.php?which=14708,http://cpu.untergrund.net/releases/advent/Advent9.zip,"http://demozoo.org/productions/165518/, https://www.pouet.net/mirrors.php?which=14708"
Adventurer #10,Adventurer,ZX Spectrum,CyberPunks Unity,october 1999,01.10.1999,https://www.pouet.net/prod.php?which=14707,http://cpu.untergrund.net/releases/advent/Advent10.zip,"http://demozoo.org/productions/165519/, https://www.pouet.net/mirrors.php?which=14707"
Adventurer #11,Adventurer,ZX Spectrum,CyberPunks Unity,2000,01.01.2000,https://www.pouet.net/prod.php?which=14706,http://cpu.untergrund.net/releases/advent/Advent11.zip,"http://demozoo.org/productions/165520/, https://www.pouet.net/mirrors.php?which=14706"
adventurer #12,Adventurer,ZX Spectrum,CyberPunks Unity,february 2001,01.02.2001,https://www.pouet.net/prod.php?which=13409,https://files.scene.org/view/mags/adventurer/advent12.zip,"http://demozoo.org/productions/165509/, https://www.pouet.net/mirrors.php?which=13409"
adventurer #13,Adventurer,ZX Spectrum,CyberPunks Unity,april 2002,01.04.2002,https://www.pouet.net/prod.php?which=13408,http://cpu.untergrund.net/releases/advent/advent13.zip,"http://demozoo.org/productions/165521/, https://www.pouet.net/mirrors.php?which=13408"
adventurer #14,Adventurer,ZX Spectrum,CyberPunks Unity,july 2003,01.07.2003,https://www.pouet.net/prod.php?which=10227,http://cpu.untergrund.net/releases/advent/Advent14.zip,"http://demozoo.org/productions/165522/, https://www.pouet.net/mirrors.php?which=10227"
adventurer #15,Adventurer,ZX Spectrum,CyberPunks Unity,august 2004,01.08.2004,https://www.pouet.net/prod.php?which=13306,http://cpu.untergrund.net/releases/advent/adv15trd.zip,"http://demozoo.org/productions/165523/, https://www.pouet.net/mirrors.php?which=13306"
Adviser #2,Adviser,Commodore 64,Abyss Connection,1991,01.01.1991,https://www.pouet.net/prod.php?which=41683,http://csdb.dk/getinternalfile.php/57650/Adviser_02.zip,"http://csdb.dk/release/?id=17796, http://demozoo.org/productions/204244/, https://www.pouet.net/mirrors.php?which=41683"
Adviser #3,Adviser,Commodore 64,Abyss Connection,1992,01.01.1992,https://www.pouet.net/prod.php?which=41677,http://csdb.dk/getinternalfile.php/57649/Adviser_03.zip,"http://csdb.dk/release/?id=17797, http://demozoo.org/productions/204245/, https://www.pouet.net/mirrors.php?which=41677"
Adwarp #1 (English),Adwarp,Commodore 64,Kreciki,april 1997,01.04.1997,https://www.pouet.net/prod.php?which=37031,http://noname.c64.org/csdb/release/download.php?id=1161,"http://csdb.dk/release/?id=4477, http://demozoo.org/productions/270330/, https://www.pouet.net/mirrors.php?which=37031"
Adwarp #2,Adwarp,Commodore 64,Kreciki,march 1997,01.03.1997,https://www.pouet.net/prod.php?which=37032,http://csdb.dk/getinternalfile.php/38787/Adwarp_02.zip,"http://csdb.dk/release/?id=47657, https://www.pouet.net/mirrors.php?which=37032"
