issue,title,platform,release,collection,creator,description,downloads,format,identifier,item_size,language,mediatype,num_reviews,oai_updatedate,publicdate,publisher,reviewdate,subject,link
64'er Magazin 86 09 (1986)(Markt & Technik)(de),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 86 09 (1986)(Markt & Technik)(de),86,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_86-09_1986_Markt_Technik_de,856545,English,software,,"14.04.2021, 19.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_86-09_1986_Markt_Technik_de
64'er Magazin 86 10 (1986)(Markt & Technik)(de)(Side A),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 86 10 (1986)(Markt & Technik)(de)(Side A),91,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_86-10_1986_Markt_Technik_de_Side_A,951939,English,software,,"14.04.2021, 14.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_86-10_1986_Markt_Technik_de_Side_A
64'er Magazin 86 10 (1986)(Markt & Technik)(de)(Side B),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 86 10 (1986)(Markt & Technik)(de)(Side B),86,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_86-10_1986_Markt_Technik_de_Side_B,594030,English,software,,"14.04.2021, 22.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_86-10_1986_Markt_Technik_de_Side_B
64'er Magazin 86 11 (1986)(Markt & Technik)(de)(Side B),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 86 11 (1986)(Markt & Technik)(de)(Side B),83,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_86-11_1986_Markt_Technik_de_Side_B,1493642,English,software,,"14.04.2021, 11.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_86-11_1986_Markt_Technik_de_Side_B
64'er Magazin 86 12 (1986)(Markt & Technik)(de),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 86 12 (1986)(Markt & Technik)(de),86,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_86-12_1986_Markt_Technik_de,671389,English,software,,"14.04.2021, 22.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_86-12_1986_Markt_Technik_de
64'er Magazin 87 01 (1987)(Markt & Technik)(de),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 87 01 (1987)(Markt & Technik)(de),85,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_87-01_1987_Markt_Technik_de,1137607,English,software,,"14.04.2021, 15.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_87-01_1987_Markt_Technik_de
64'er Magazin 87 02 (1987)(Markt & Technik)(de)(Side A),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 87 02 (1987)(Markt & Technik)(de)(Side A),94,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_87-02_1987_Markt_Technik_de_Side_A,925085,English,software,,"14.04.2021, 25.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_87-02_1987_Markt_Technik_de_Side_A
64'er Magazin 87 02 (1987)(Markt & Technik)(de)(Side B),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 87 02 (1987)(Markt & Technik)(de)(Side B),85,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_87-02_1987_Markt_Technik_de_Side_B,340297,English,software,,"14.04.2021, 22.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_87-02_1987_Markt_Technik_de_Side_B
64'er Magazin 87 03 (1987)(Markt & Technik)(de)(Side A),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 87 03 (1987)(Markt & Technik)(de)(Side A),85,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_87-03_1987_Markt_Technik_de_Side_A,808825,English,software,,"14.04.2021, 16.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_87-03_1987_Markt_Technik_de_Side_A
64'er Magazin 87 04 (1987)(Markt & Technik)(de),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 87 04 (1987)(Markt & Technik)(de),91,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_87-04_1987_Markt_Technik_de,598753,English,software,,"14.04.2021, 18.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_87-04_1987_Markt_Technik_de
