issue,title,platform,release,collection,creator,description,downloads,format,identifier,item_size,language,mediatype,num_reviews,oai_updatedate,publicdate,publisher,reviewdate,subject,link
Nike #1.5 (1995)(Impact),Nike,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Nike #1.5 (1995)(Impact),77,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Nike_1.5_1995_Impact,1443148,English,software,,"18.09.2018, 26.05.2020",18.09.2018,,,,https://archive.org/details/Nike_1.5_1995_Impact
Nitro #02 (1992 04 25)(Excess),Nitro,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Nitro #02 (1992 04 25)(Excess),114,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Nitro_02_1992-04-25_Excess,4499003,English,software,,"18.09.2018, 27.05.2020",18.09.2018,,,,https://archive.org/details/Nitro_02_1992-04-25_Excess
Nitro #03 (1992 06 01)(Excess),Nitro,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Nitro #03 (1992 06 01)(Excess),134,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Nitro_03_1992-06-01_Excess,5199173,English,software,,"18.09.2018, 27.05.2020",18.09.2018,,,,https://archive.org/details/Nitro_03_1992-06-01_Excess
Nitro #04 (1992 07)(Excess),Nitro,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Nitro #04 (1992 07)(Excess),56,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Nitro_04_1992-07_Excess,7464912,English,software,,"18.09.2018, 27.05.2020",18.09.2018,,,,https://archive.org/details/Nitro_04_1992-07_Excess
Nitro #05 (1992)(Excess),Nitro,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Nitro #05 (1992)(Excess),62,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Nitro_05_1992_Excess,6225229,English,software,,"18.09.2018, 27.05.2020",18.09.2018,,,,https://archive.org/details/Nitro_05_1992_Excess
Nitro #06 (19xx)(Excess),Nitro,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Nitro #06 (19xx)(Excess),59,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Nitro_06_19xx_Excess,5927197,English,software,,"18.09.2018, 27.05.2020",18.09.2018,,,,https://archive.org/details/Nitro_06_19xx_Excess
Nitro #07 (1992 11)(Excess),Nitro,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Nitro #07 (1992 11)(Excess),75,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Nitro_07_1992-11_Excess,5915151,English,software,,"18.09.2018, 27.05.2020",18.09.2018,,,,https://archive.org/details/Nitro_07_1992-11_Excess
Nitro #25 (1998 05)(Excess),Nitro,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Nitro #25 (1998 05)(Excess),87,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Nitro_25_1998-05_Excess,2715460,English,software,,"18.09.2018, 28.05.2020",18.09.2018,,,,https://archive.org/details/Nitro_25_1998-05_Excess
No Problem #1 (19xx)( ),No Problem,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,No Problem #1 (19xx)( ),76,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",No_Problem_1_19xx_-,3618067,English,software,,"18.09.2018, 28.05.2020",18.09.2018,,,,https://archive.org/details/No_Problem_1_19xx_-
Nohalogopagus #0 (1998)(Kashkishka),Nohalogopagus,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Nohalogopagus #0 (1998)(Kashkishka),63,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Nohalogopagus_0_1998_Kashkishka,661757,English,software,,"18.09.2018, 28.05.2020",18.09.2018,,,,https://archive.org/details/Nohalogopagus_0_1998_Kashkishka
Nohalogopagus #1 (1997)(Kashkishka),Nohalogopagus,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Nohalogopagus #1 (1997)(Kashkishka),63,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Nohalogopagus_1_1997_Kashkishka,2269272,English,software,,"18.09.2018, 28.05.2020",18.09.2018,,,,https://archive.org/details/Nohalogopagus_1_1997_Kashkishka
Nono #1 (1992)( ),Nono,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Nono #1 (1992)( ),77,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Nono_1_1992_-,1262342,English,software,,"18.09.2018, 28.05.2020",18.09.2018,,,,https://archive.org/details/Nono_1_1992_-
Nono #2 (1992)( ),Nono,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Nono #2 (1992)( ),78,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Nono_2_1992_-,1000782,English,software,,"18.09.2018, 28.05.2020",18.09.2018,,,,https://archive.org/details/Nono_2_1992_-
Nordic Scene Review #4 (2005 12 11)(NSR Staff),Nordic Scene Review,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Nordic Scene Review #4 (2005 12 11)(NSR Staff),69,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Nordic_Scene_Review_4_2005-12-11_NSR_Staff,1096176,English,software,,"18.09.2018, 28.05.2020",18.09.2018,,,,https://archive.org/details/Nordic_Scene_Review_4_2005-12-11_NSR_Staff
Nordic Scene Review #8 (2014 01 26)(Puterman radiantx),Nordic Scene Review,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Nordic Scene Review #8 (2014 01 26)(Puterman radiantx),61,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Nordic_Scene_Review_8_2014-01-26_Puterman_radiantx,976276,English,software,,"18.09.2018, 28.05.2020",18.09.2018,,,,https://archive.org/details/Nordic_Scene_Review_8_2014-01-26_Puterman_radiantx
Notorious #1 (1994 10 10)(Inox),Notorious,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Notorious #1 (1994 10 10)(Inox),57,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Notorious_1_1994-10-10_Inox,1215454,English,software,,"18.09.2018, 28.05.2020",18.09.2018,,,,https://archive.org/details/Notorious_1_1994-10-10_Inox
Notorious Preview (1994)(Inox),Notorious,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Notorious Preview (1994)(Inox),106,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Notorious_Preview_1994_Inox,1709332,English,software,,"18.09.2018, 28.05.2020",18.09.2018,,,,https://archive.org/details/Notorious_Preview_1994_Inox
Notu #4 (19xx)(BCT),News of the Underground,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Notu #4 (19xx)(BCT),65,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Notu_4_19xx_BCT,8610825,English,software,,"18.09.2018, 28.05.2020",18.09.2018,,,,https://archive.org/details/Notu_4_19xx_BCT
Notu #5 (19xx)(BCT),News of the Underground,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Notu #5 (19xx)(BCT),221,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Notu_5_19xx_BCT,8325099,English,software,,"18.09.2018, 28.05.2020",18.09.2018,,,,https://archive.org/details/Notu_5_19xx_BCT
Nova magazine #1,Nova magazine,MS-DOS,07.03.2000,"diskmags,softwarelibrary_msdos_zzt,softwarelibrary_msdos,softwarelibrary",Nova Productions,,169,"Animated GIF,Emulator Screenshot,Item Image,JPEG,JPEG Thumb,Metadata,ZIP",zzt_novamag1,2194837,,software,,"14.02.2016, 08.01.2017",14.02.2016,Nova Software,,ZZT diskmags,https://archive.org/details/zzt_novamag1
Nova magazine #1 (Update),Nova magazine,MS-DOS,01.01.2000,"diskmags,softwarelibrary_msdos_zzt,softwarelibrary_msdos,softwarelibrary",Nova Productions,,141,"Animated GIF,Emulator Screenshot,Item Image,JPEG,JPEG Thumb,Metadata,ZIP",zzt_novamag,1663414,,software,,"14.02.2016, 08.01.2017",14.02.2016,Nova Software,,ZZT diskmags,https://archive.org/details/zzt_novamag
Nova Nekropola by El Topo,Nova Nekropola,Commodore 64,01.04.2020,"softwarelibrary_c64_demos,softwarelibrary_c64,softwarelibrary,fav-danilo_luna",El Topo,Full demo information and links at https://www.pouet.net/prod.php?which=85392 Nova Nekropola by El Topo Type: diskmag Release Date: april 2020 Release Party:,60,"Archive BitTorrent,Emulator Screenshot,Item Tile,Metadata,Text,Unknown,ZIP",pouet_85392,77842,,software,1.0,"16.06.2020, 17.02.2021, 17.02.2021",16.06.2020,,17.02.2021,,https://archive.org/details/pouet_85392
Nuz'n'Charts #4 (1989 11)(Opal),Nuz'n'Charts,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Nuz'n'Charts #4 (1989 11)(Opal),60,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",NuznCharts_4_1989-11_Opal,2332437,English,software,,"18.09.2018, 28.05.2020",18.09.2018,,,,https://archive.org/details/NuznCharts_4_1989-11_Opal
Nuz'n'Charts #6 (1990)(Opal),Nuz'n'Charts,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Nuz'n'Charts #6 (1990)(Opal),139,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",NuznCharts_6_1990_Opal,5198563,English,software,,"18.09.2018, 28.05.2020",18.09.2018,,,,https://archive.org/details/NuznCharts_6_1990_Opal
Oasis #1 (1990 10 20)(Oxygen),Oasis,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Oasis #1 (1990 10 20)(Oxygen),81,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Oasis_1_1990-10-20_Oxygen,6710624,English,software,,"18.09.2018, 29.05.2020",18.09.2018,,,,https://archive.org/details/Oasis_1_1990-10-20_Oxygen
Obituary #02 (1990)(Paintex),Obituary,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Obituary #02 (1990)(Paintex),57,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Obituary_02_1990_Paintex,8794621,English,software,,"18.09.2018, 29.05.2020",18.09.2018,,,,https://archive.org/details/Obituary_02_1990_Paintex
Obsession #1 (1994)(Chromance Success The Ruling Company),Obsession,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Obsession #1 (1994)(Chromance Success The Ruling Company),79,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Obsession_1_1994_Chromance_Success_The_Ruling_Company,4549039,English,software,,"18.09.2018, 29.05.2020",18.09.2018,,,,https://archive.org/details/Obsession_1_1994_Chromance_Success_The_Ruling_Company
OK OB #002 (1993)(Sun Designs),OK OB,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,OK OB #002 (1993)(Sun Designs),67,"Advanced Audio Coding,Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata",OK_OB_002_1993_Sun_Designs,600974,English,software,,"18.09.2018, 28.05.2020",18.09.2018,,,,https://archive.org/details/OK_OB_002_1993_Sun_Designs
Ok Ob #1 (199x)(Sun Designs),OK OB,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Ok Ob #1 (199x)(Sun Designs),59,"Advanced Audio Coding,Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata",Ok_Ob_1_199x_Sun_Designs,287083,English,software,,"18.09.2018, 29.05.2020",18.09.2018,,,,https://archive.org/details/Ok_Ob_1_199x_Sun_Designs
Omega News #01 (1991 02)(Omega),Omega News,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Omega News #01 (1991 02)(Omega),191,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Omega_News_01_1991-02_Omega,7423615,English,software,,"18.09.2018, 29.05.2020",18.09.2018,,,,https://archive.org/details/Omega_News_01_1991-02_Omega
Omlette #1,Omlette,MS-DOS,01.12.1996,"diskmags,softwarelibrary,emulation",,MS-DOS diskmag.,137,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,PNG,ZIP",omlet001,386452,English,software,,"11.01.2015, 31.03.2023",11.01.2015,,,"diskmags,MS-DOS diskmags",https://archive.org/details/omlet001
ON DISK MONTHLY #64,ON DISK MONTHLY,,01.01.1992,"bigbluedisk,diskmags,softwarelibrary,fav-logan_carey",,"ON DISK MONTHLY Contents Issue No. 64 DEPARTMENTS OUR REGULAR FEATURES Diskovery, Blue Notes, Report Card and more. ODM Indexer by Richard Wong The long awaited upgrade to our complete software cataloging system. DEEP SEA DIVER by Brian Goble Swim through shark infested waters in search of treasure in this arcader's delight. Draw Poker by James Rittenhouse Step up to our video poker machine and deal away hours of fun. POINT AND SHOOT by Martin Richardson Add a menu-driven file filter to all your command line file commands. TIDBITS by Ronald Ropson Add and control 10 system functions with this one easy-to-use TSR. PCX CLIP ART by The ODM Artists One page of high-quality Valentine's day clip art to spruce up your page-layout creations. PRINT SHOP IMAGES by The ODM Artists A set of Valentine's images to add to your Print Shop collection.",439,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,ZIP",odm64,1325736,English,software,,"30.08.2016, 15.07.2020",30.08.2016,,,"screen,tidbits,command,disk,program,file,commands,dos,colors,keyboard,clip art,print shop,memory resident,dos prompt,banner colors,mouse driver,static delayicon,screen image,draw poker,odm indexer",https://archive.org/details/odm64
On Disk Monthly #88,ON DISK MONTHLY,,01.01.1994,"bigbluedisk,diskmags,softwarelibrary,fav-lainfan666",Softdisk,"On Disk Monthly #88 What's On This Issue Medieval Conquest This Windows game is a derivative of Chess but it should be fun even for non-chess players.  Pieces move the same as in chess, but pieces have strengths and weaknesses that force a major change in strategy.  Besides normal attacks, Medieval Conquest adds the ability to cast spells. Bubba's Cavernous Conundrum Some of our most popular items from the early days of ""Big Blue Disk"" were the continuing adventures of ""Alfredo.""  The Alfredo adventures were simple animated ""movies"" that the user sat back and watched as Alfredo suffered a series of misadventures.  Bubba's adventures are similar, with two major exceptions.  Bubba's graphics are as good as most commercial games, and the user actually controls Bubba's actions. Crypto Sleuth Here is another series of cryptograms to solve, using our popular cryptogram program ""Crypto Sleuth.""  We have dug deep into our quotation library for these puzzles.  Have fun! Memo Writer One of the most popular items that we ever published on ODM was Memo Writer.  We have had numerous requests for new templates for the program and we have published two complete sets on previous issues.  We have two new templates on this disk (""meetnote.mtp and planner.mtp) and we have a new and improved version of the program PLUS we have included all of the templates from previous issues. Forty Thieves The single most common game request we get is for new solitaire card games.  We have heard your requests and here is our response.  Forty Thieves is a two-deck solitaire card game that is both challenging and fun.  Look for more games like this in the future. Windows TrueType fonts Here are more in our continuing series of TrueType fonts.  This month we are going all out and providing you with six different fonts to install.  At least one of them ought to strike your fancy!  Alison is a decorative font, Downtown is unique, Marking Pen will intrigue you, New Deal (and New Deal Bold) are useful and Niverse will round out your collection. .PCX Graphics This month our art department has generated a new batch of .PCX clip art for your use.  Included are dice, cards and other images from your friendly neighborhood casino.  Use these in your party invitations, or just to spice up any document.",445,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,ZIP",odm88,1361884,English,software,,"15.09.2016, 25.07.2020",15.09.2016,,,"program,odm,disk,font,truetype,programs,fonts,softdisk,monthly,software,disk monthly,truetype fonts,softdisk publishing,western vistas,medieval conquest,report card,entire issue,dialog box,chemistry works,technical support",https://archive.org/details/odm88
On Disk Revue Volume 1 (Emerald Valley Publishing) (1985),On Disk Revue,APPLE II,01.01.1985,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary,fav-boogaooga",,On Disk Revue Volume 1 (Emerald Valley Publishing) (1985),130,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",On-Disk_Revue_Volume_1_Emerald_Valley_Publishing_1985,225318,English,software,,"30.08.2016, 25.12.2016",30.08.2016,,,,https://archive.org/details/On-Disk_Revue_Volume_1_Emerald_Valley_Publishing_1985
One #1 (1990)(Pentagon and Pn),One!,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,One #1 (1990)(Pentagon and Pn),87,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",One_1_1990_Pentagon_and_Pn,2612236,English,software,,"18.09.2018, 29.05.2020",18.09.2018,,,,https://archive.org/details/One_1_1990_Pentagon_and_Pn
One #2 (1990)( ),One!,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,One #2 (1990)( ),80,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",One_2_1990_-,5990156,English,software,,"18.09.2018, 29.05.2020",18.09.2018,,,,https://archive.org/details/One_2_1990_-
Onslaught News #03 (1998)( ),Onslaught News,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Onslaught News #03 (1998)( ),56,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Onslaught_News_03_1998_-,1730465,English,software,,"18.09.2018, 29.05.2020",18.09.2018,,,,https://archive.org/details/Onslaught_News_03_1998_-
Onslaught News #04 (1999)( ),Onslaught News,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Onslaught News #04 (1999)( ),78,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Onslaught_News_04_1999_-,8547465,English,software,,"18.09.2018, 29.05.2020",18.09.2018,,,,https://archive.org/details/Onslaught_News_04_1999_-
Onslaught News #06 (2000)(Onslaught),Onslaught News,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Onslaught News #06 (2000)(Onslaught),95,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Onslaught_News_06_2000_Onslaught,5100549,English,software,,"18.09.2018, 29.05.2020",18.09.2018,,,,https://archive.org/details/Onslaught_News_06_2000_Onslaught
Opinion #1 (1991 01)(Secure),Opinion,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Opinion #1 (1991 01)(Secure),90,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",Opinion_1_1991-01_Secure,4395375,English,software,,"18.09.2018, 26.12.2021",18.09.2018,,,,https://archive.org/details/Opinion_1_1991-01_Secure
Opinion #2 (1991 05 18)(Secure),Opinion,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Opinion #2 (1991 05 18)(Secure),61,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Opinion_2_1991-05-18_Secure,3914430,English,software,,"18.09.2018, 29.05.2020",18.09.2018,,,,https://archive.org/details/Opinion_2_1991-05-18_Secure
Opinion #3 (1991)(Secure),Opinion,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Opinion #3 (1991)(Secure),109,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Opinion_3_1991_Secure,4398569,English,software,,"18.09.2018, 29.05.2020",18.09.2018,,,,https://archive.org/details/Opinion_3_1991_Secure
Opinion #3 (19xx)(Mystic),Opinion,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Opinion #3 (19xx)(Mystic),56,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Opinion_3_19xx_Mystic,783216,English,software,,"18.09.2018, 29.05.2020",18.09.2018,,,,https://archive.org/details/Opinion_3_19xx_Mystic
Opinion #4 (19xx)(Mystic),Opinion,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Opinion #4 (19xx)(Mystic),60,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Opinion_4_19xx_Mystic,4361028,English,software,,"18.09.2018, 29.05.2020",18.09.2018,,,,https://archive.org/details/Opinion_4_19xx_Mystic
Orbservant #1 (1991)(Orbs),Orbservant,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Orbservant #1 (1991)(Orbs),113,"Advanced Audio Coding,Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata",Orbservant_1_1991_Orbs,8975034,English,software,,"18.09.2018, 29.05.2020",18.09.2018,,,,https://archive.org/details/Orbservant_1_1991_Orbs
Orbservant #2 (1991 12 06)(Orbs),Orbservant,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Orbservant #2 (1991 12 06)(Orbs),72,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Orbservant_2_1991-12-06_Orbs,3794183,English,software,,"18.09.2018, 29.05.2020",18.09.2018,,,,https://archive.org/details/Orbservant_2_1991-12-06_Orbs
Orbservant #3 (1992 01 24)(Orbs),Orbservant,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Orbservant #3 (1992 01 24)(Orbs),56,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Orbservant_3_1992-01-24_Orbs,3538084,English,software,,"18.09.2018, 29.05.2020",18.09.2018,,,,https://archive.org/details/Orbservant_3_1992-01-24_Orbs
Orbservant #4 (1992 05 18)(Orbs),Orbservant,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Orbservant #4 (1992 05 18)(Orbs),186,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Orbservant_4_1992-05-18_Orbs,3528576,English,software,,"18.09.2018, 29.05.2020",18.09.2018,,,,https://archive.org/details/Orbservant_4_1992-05-18_Orbs
Orgasmic Attitude 01 (1991 12 21)(Orgasmic Design),Orgasmic Attitude,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Orgasmic Attitude 01 (1991 12 21)(Orgasmic Design),90,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Orgasmic_Attitude_01_1991-12-21_Orgasmic_Design,8387501,English,software,,"18.09.2018, 29.05.2020",18.09.2018,,,,https://archive.org/details/Orgasmic_Attitude_01_1991-12-21_Orgasmic_Design
Outbreak #1 (1990 10 09)(Tristar),Outbreak,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Outbreak #1 (1990 10 09)(Tristar),59,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Outbreak_1_1990-10-09_Tristar,3893325,English,software,,"18.09.2018, 29.05.2020",18.09.2018,,,,https://archive.org/details/Outbreak_1_1990-10-09_Tristar
Outbreak #2 (1990 11 28)(Tristar),Outbreak,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Outbreak #2 (1990 11 28)(Tristar),72,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Outbreak_2_1990-11-28_Tristar,6884876,English,software,,"18.09.2018, 29.05.2020",18.09.2018,,,,https://archive.org/details/Outbreak_2_1990-11-28_Tristar
Outbreak #3 (1991 02 01)(Tristar),Outbreak,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Outbreak #3 (1991 02 01)(Tristar),55,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Outbreak_3_1991-02-01_Tristar,6167944,English,software,,"18.09.2018, 29.05.2020",18.09.2018,,,,https://archive.org/details/Outbreak_3_1991-02-01_Tristar
Outburst #1 (19xx)(Witty & Strobe),Outburst,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Outburst #1 (19xx)(Witty & Strobe),256,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Outburst_1_19xx_Witty_Strobe,13480936,English,software,,"18.09.2018, 29.05.2020",18.09.2018,,,,https://archive.org/details/Outburst_1_19xx_Witty_Strobe
Outdoor #1 (1993 04)(A Soft),Outdoor,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Outdoor #1 (1993 04)(A Soft),56,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Outdoor_1_1993-04_A-Soft,811969,English,software,,"18.09.2018, 29.05.2020",18.09.2018,,,,https://archive.org/details/Outdoor_1_1993-04_A-Soft
Outdoor #2 (1993 09)(A Soft),Outdoor,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Outdoor #2 (1993 09)(A Soft),79,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Outdoor_2_1993-09_A-Soft,1497090,English,software,,"18.09.2018, 30.05.2020",18.09.2018,,,,https://archive.org/details/Outdoor_2_1993-09_A-Soft
Outdoor #3 (1994 03)( ),Outdoor,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Outdoor #3 (1994 03)( ),58,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Outdoor_3_1994-03_-,1626762,English,software,,"18.09.2018, 29.05.2020",18.09.2018,,,,https://archive.org/details/Outdoor_3_1994-03_-
